period,org_code,type,attendances,breaches,admissions
2016-12-01,RF4,1,21096,3929,4644
2016-12-01,RF4,2,560,1,0
2016-12-01,RF4,other,3383,13,0
2016-12-01,R1H,1,29522,7298,6780
2016-12-01,R1H,2,594,0,0
2016-12-01,R1H,other,11112,116,0
2016-12-01,AD913,other,4435,1,0
2016-12-01,RYX,other,18545,273,0
2016-12-01,RQM,1,16931,2675,3671
2016-12-01,RQM,other,7679,131,0
2016-12-01,RJ6,1,6551,1483,2190
2016-12-01,RJ6,other,3826,86,0
2016-12-01,Y02696,other,1244,0,0
2016-12-01,NX122,other,2777,0,0
2016-12-01,RVR,1,12585,768,3414
2016-12-01,RVR,2,383,0,1
2016-12-01,RJ1,1,12254,1716,3216
2016-12-01,RJ1,2,671,0,0
2016-12-01,RJ1,other,2621,6,0
2016-12-01,Y03082,other,3690,0,0
2016-12-01,RQX,1,10278,642,1733
2016-12-01,RY9,other,4668,0,0
2016-12-01,RYJ,1,9996,3530,3274
2016-12-01,RYJ,2,3472,14,13
2016-12-01,RYJ,other,10846,217,0
2016-12-01,RJZ,1,17326,5682,4487
2016-12-01,RJZ,2,1914,3,0
2016-12-01,RJZ,other,5066,275,0
2016-12-01,RAX,1,9191,1417,1896
2016-12-01,RAX,2,888,0,0
2016-12-01,RJ2,1,18393,4254,5098
2016-12-01,RJ2,other,5750,289,0
2016-12-01,R1K,1,12163,5392,4705
2016-12-01,R1K,other,17439,228,0
2016-12-01,RP6,2,7183,46,28
2016-12-01,RAT,other,4404,62,0
2016-12-01,RAP,1,14918,3078,2657
2016-12-01,Y02973,other,758,0,0
2016-12-01,AF003,other,390,0,0
2016-12-01,AF002,other,486,0,0
2016-12-01,RAL,1,19157,3695,3816
2016-12-01,RAL,other,3329,1,0
2016-12-01,Y03047,other,1997,0,0
2016-12-01,RJ7,1,12785,1537,3818
2016-12-01,RJ7,other,1364,0,0
2016-12-01,F84747,other,2491,0,0
2016-12-01,RAS,1,5868,2777,1731
2016-12-01,RAS,other,7993,23,0
2016-12-01,Y03094,other,3212,0,0
2016-12-01,E84068,other,3847,0,0
2016-12-01,RKE,1,8238,1169,1307
2016-12-01,RRV,1,11196,1565,2001
2016-12-01,Y02147,other,10188,0,0
2016-12-01,Y03201,other,2474,0,0
2016-12-01,NL7,other,5021,0,0
2016-12-01,RDD,1,11910,1316,2484
2016-12-01,RC1,1,6147,614,1916
2016-12-01,M85813,other,3324,0,0
2016-12-01,RQ3,1,5297,368,985
2016-12-01,RJF,1,5228,1190,1793
2016-12-01,RJF,other,4045,0,7
2016-12-01,RGT,1,9127,2262,3084
2016-12-01,RGT,other,2957,0,26
2016-12-01,RFS,1,6708,1247,1980
2016-12-01,NQ108,other,2224,6,0
2016-12-01,RDE,1,7272,2135,2555
2016-12-01,Y03571,other,6132,16,0
2016-12-01,RTG,1,11375,2504,3702
2016-12-01,RTG,other,4664,39,26
2016-12-01,RY8,other,4694,0,0
2016-12-01,NNJ,other,1995,0,0
2016-12-01,RWH,1,9048,1983,3408
2016-12-01,RWH,other,4540,2,0
2016-12-01,NAX,other,274,0,0
2016-12-01,NQ106,other,508,0,0
2016-12-01,RLT,1,6396,1119,1100
2016-12-01,NTPAL,other,2257,0,0
2016-12-01,NEH06,other,1494,0,0
2016-12-01,RR1,1,18850,4047,5865
2016-12-01,RR1,other,3275,38,1272
2016-12-01,RY4,other,719,1,0
2016-12-01,RQQ,1,3574,1007,740
