period,org_code,type,attendances,breaches,admissions
2018-07-01,RF4,1,19303,4606,5004
2018-07-01,RF4,2,791,0,0
2018-07-01,RF4,other,5072,10,0
2018-07-01,R1H,1,28357,6294,7986
2018-07-01,R1H,2,954,5,0
2018-07-01,R1H,other,13523,134,0
2018-07-01,AD913,other,4718,4,0
2018-07-01,E84069,other,1584,0,0
2018-07-01,RYX,other,18132,201,0
2018-07-01,RQM,1,18560,1064,4130
2018-07-01,RQM,other,8568,102,0
2018-07-01,RJ6,1,6420,2406,1710
2018-07-01,RJ6,other,11018,202,0
2018-07-01,Y02696,other,987,0,0
2018-07-01,RVR,1,12956,757,3374
2018-07-01,RVR,2,495,0,10
2018-07-01,RVR,other,957,0,0
2018-07-01,RJ1,1,13847,2418,3500
2018-07-01,RJ1,2,838,0,0
2018-07-01,RJ1,other,3464,5,0
2018-07-01,Y03082,other,3954,53,0
2018-07-01,RQX,1,10780,723,1676
2018-07-01,RY9,other,4221,0,0
2018-07-01,RYJ,1,10174,2751,3331
2018-07-01,RYJ,2,4313,76,15
2018-07-01,RYJ,other,11091,129,0
2018-07-01,RJZ,1,16777,4899,4499
2018-07-01,RJZ,other,7153,367,0
2018-07-01,Y02973,other,718,1,0
2018-07-01,RAX,1,9667,1037,2171
2018-07-01,RAX,2,1123,1,0
2018-07-01,RJ2,1,13220,2210,4652
2018-07-01,RJ2,other,12452,256,0
2018-07-01,R1K,1,11922,3038,6098
2018-07-01,R1K,other,17536,158,0
2018-07-01,RP6,2,8150,268,8
2018-07-01,RAT,other,5376,79,0
2018-07-01,RAP,1,8313,1988,2575
2018-07-01,RAP,2,474,1,0
2018-07-01,RAP,other,6308,177,0
2018-07-01,RAL,1,20481,2529,4530
2018-07-01,RAL,other,3549,6,0
2018-07-01,Y03047,other,1617,0,0
2018-07-01,RJ7,1,13749,1022,3882
2018-07-01,RJ7,other,1481,2,0
2018-07-01,F84747,other,2305,0,0
2018-07-01,RAS,1,5397,2320,2006
2018-07-01,RAS,other,8482,65,0
2018-07-01,Y03094,other,3431,0,0
2018-07-01,Y03218,other,3307,0,0
2018-07-01,E84068,other,2841,0,0
2018-07-01,Y02692,other,3488,0,0
2018-07-01,RRV,1,12143,1912,1972
2018-07-01,Y02147,other,10254,0,0
2018-07-01,RKE,1,9288,884,1469
2018-07-01,NL7,other,5554,0,0
2018-07-01,8J094,other,2880,0,0
2018-07-01,RDD,1,13447,510,3469
2018-07-01,RC1,1,6848,996,1941
2018-07-01,RC1,other,158,0,0
2018-07-01,M85813,other,3170,0,0
2018-07-01,RQ3,1,4847,193,1096
2018-07-01,RGT,1,10396,1619,2992
2018-07-01,RGT,other,3618,1,19
2018-07-01,RFS,1,6184,661,2177
2018-07-01,RFS,other,1680,0,0
2018-07-01,NQ108,other,3099,3,0
2018-07-01,Y03571,other,6377,0,0
2018-07-01,RY8,other,6703,2,0
2018-07-01,NNJ,other,1884,1,0
2018-07-01,RWH,1,9584,2159,2932
2018-07-01,RWH,other,4491,64,0
2018-07-01,RDE,1,16199,1140,4391
2018-07-01,RDE,other,6047,11,133
2018-07-01,Y03007,other,2496,0,0
2018-07-01,NQ106,other,756,0,0
2018-07-01,RLT,1,7593,739,1419
2018-07-01,NEH06,other,2272,0,0
2018-07-01,RY4,other,1024,18,0
2018-07-01,RGP,1,6588,681,1482
2018-07-01,RGP,other,942,24,0
2018-07-01,RNQ,1,8214,1810,2489
2018-07-01,C82038,other,217,0,0
2018-07-01,RY5,other,12172,292,1
2018-07-01,NJS05,other,4270,117,0
2018-07-01,RC9,1,9661,207,2559
2018-07-01,RC9,other,3444,0,0
2018-07-01,C82009,other,487,0,0
2018-07-01,NLO11,other,633,0,0
2018-07-01,NLO09,other,544,12,0
2018-07-01,RQ8,1,8860,1622,2286
2018-07-01,RQ8,other,384,10,0
2018-07-01,RD8,1,7970,1414,1808
2018-07-01,RD8,other,4972,22,0
2018-07-01,RM1,1,9935,2031,2872
2018-07-01,RM1,other,2827,58,0
2018-07-01,RGN,1,13058,1305,3550
2018-07-01,RGN,other,929,0,0
2018-07-01,RNS,1,9287,869,2972
2018-07-01,RNS,2,1097,5,0
2018-07-01,RNS,other,1012,0,0
2018-07-01,NMH01,other,5514,0,0
2018-07-01,NR3,other,4748,2,0
2018-07-01,RX1,1,13195,4116,4045
2018-07-01,RX1,2,1784,56,0
2018-07-01,RX1,other,2939,72,0
2018-07-01,NLO10,other,2216,0,0
2018-07-01,C82010,other,360,0,0
2018-07-01,NLO12,other,272,1,0
2018-07-01,Y02428,other,2150,0,0
2018-07-01,RXK,1,14575,2993,3281
2018-07-01,RXK,2,1169,8,31
2018-07-01,RXK,other,3179,0,0
2018-07-01,RK5,1,9392,511,2778
2018-07-01,RK5,other,4973,83,10
2018-07-01,RXW,1,10176,3085,2468
2018-07-01,RXW,other,2031,13,132
2018-07-01,R1D,other,2805,1,0
2018-07-01,C83023,other,636,0,0
2018-07-01,Y02615,other,5731,0,0
2018-07-01,RJC,1,6181,312,1771
2018-07-01,RJC,other,977,0,0
2018-07-01,RAJ,1,7737,673,2182
2018-07-01,RAJ,other,1350,2,266
2018-07-01,Y02961,other,2602,0,0
2018-07-01,RNA,1,9565,2225,2277
2018-07-01,RNA,other,5795,33,0
2018-07-01,RQW,1,9226,2398,2125
2018-07-01,RCX,1,6063,686,2187
2018-07-01,RL4,1,11844,1651,2808
2018-07-01,RL4,other,8344,49,0
2018-07-01,RWD,1,13378,4130,3718
2018-07-01,RWD,other,1248,0,0
2018-07-01,RRK,1,32209,6499,11332
2018-07-01,RRK,other,4014,29,1394
2018-07-01,RKB,1,12643,1868,4273
2018-07-01,RKB,2,1851,17,84
2018-07-01,RKB,other,6100,18,1
2018-07-01,RTG,1,17591,2757,5302
2018-07-01,RTG,other,9877,11,156
2018-07-01,RWE,1,18890,4861,4522
2018-07-01,RWE,2,1866,48,12
2018-07-01,RJE,1,16622,3758,5855
2018-07-01,RJE,2,435,0,0
2018-07-01,RJE,other,6495,126,0
2018-07-01,RBK,1,6769,2014,2009
2018-07-01,RBK,other,3706,7,0
2018-07-01,ATQ02,other,3193,0,0
2018-07-01,RWG,1,8578,2104,3103
2018-07-01,RWG,other,4604,14,0
2018-07-01,RGR,1,6159,724,2010
2018-07-01,RGR,other,405,0,0
2018-07-01,RWP,1,11266,3995,3210
2018-07-01,RWP,other,6974,18,0
2018-07-01,RLQ,1,5402,1537,1360
2018-07-01,RLQ,other,475,0,0
2018-07-01,REM,1,8089,2109,3725
2018-07-01,REM,other,6915,3,0
2018-07-01,RCF,1,5277,509,1388
2018-07-01,RCF,2,657,0,0
2018-07-01,RCF,other,155,0,0
2018-07-01,RBS,1,4915,172,993
2018-07-01,RFF,1,8136,642,2064
2018-07-01,RXL,1,7035,3644,2383
2018-07-01,RXL,other,12221,80,0
2018-07-01,RMC,1,9365,1633,2179
2018-07-01,RMC,other,938,3,28
2018-07-01,RAE,1,11105,2049,3678
2018-07-01,RAE,other,1151,21,120
2018-07-01,NNF09,other,2740,19,0
2018-07-01,RY2,other,12946,78,0
2018-07-01,RWY,1,13453,1026,2938
2018-07-01,RLN,1,8491,1452,2706
2018-07-01,RLN,2,2348,48,37
2018-07-01,RLN,other,3163,14,0
2018-07-01,RJR,1,6524,1255,1766
2018-07-01,RJR,other,659,9,0
2018-07-01,RXP,1,11389,1900,3780
2018-07-01,RXP,other,7580,0,0
2018-07-01,RP5,1,12467,1243,3265
2018-07-01,RP5,other,3597,2,318
2018-07-01,Y01231,other,2568,46,0
2018-07-01,Y01069,other,3425,0,0
2018-07-01,RJN,1,4254,543,900
2018-07-01,RJN,other,246,0,0
2018-07-01,RXR,1,9710,2542,3090
2018-07-01,RXR,other,6659,321,29
2018-07-01,NNF94,other,2501,0,0
2018-07-01,RR7,1,8234,521,1681
2018-07-01,RR7,other,2700,1,0
2018-07-01,NNFA7,other,1432,3,0
2018-07-01,RCD,1,4634,292,915
2018-07-01,RCD,other,945,0,0
2018-07-01,RWA,1,12087,2466,3011
2018-07-01,RV9,other,913,1,0
2018-07-01,RXN,1,6705,1810,2107
2018-07-01,RXN,other,8046,192,394
2018-07-01,RR8,1,17889,3507,5345
2018-07-01,RR8,other,3978,17,0
2018-07-01,RY1,other,2300,0,0
2018-07-01,REP,2,1110,10,87
2018-07-01,R0A,1,22012,4669,6818
2018-07-01,R0A,2,3544,23,183
2018-07-01,R0A,other,9525,31,148
2018-07-01,RBT,1,5842,1277,2255
2018-07-01,RBT,other,2496,10,0
2018-07-01,RXF,1,18828,2731,3981
2018-07-01,RXF,other,4047,88,173
2018-07-01,Y02532,other,1743,0,0
2018-07-01,Y03645,other,418,0,0
2018-07-01,RNL,1,8658,1243,2089
2018-07-01,RNL,other,2293,14,0
2018-07-01,RVW,1,3749,323,1578
2018-07-01,RVW,other,11409,24,701
2018-07-01,RTV,other,1774,15,0
2018-07-01,NLO01,other,4351,150,0
2018-07-01,RJL,1,12839,2058,3022
2018-07-01,RTF,1,9290,433,4266
2018-07-01,RTF,other,9739,49,38
2018-07-01,Y02572,other,741,0,0
2018-07-01,Y02533,other,319,0,0
2018-07-01,RW6,1,23887,4641,6282
2018-07-01,RW6,other,10181,133,124
2018-07-01,RT2,other,3623,0,0
2018-07-01,AC008,other,1299,1,0
2018-07-01,RQ6,1,8187,2300,2458
2018-07-01,RQ6,2,1871,14,23
2018-07-01,RQ6,other,10335,0,0
2018-07-01,RM3,1,8780,1014,2851
2018-07-01,RM3,other,582,0,0
2018-07-01,AXT02,other,3546,0,0
2018-07-01,RCU,1,4822,71,617
2018-07-01,RCU,other,105,0,0
2018-07-01,RHQ,1,9530,1895,2916
2018-07-01,RHQ,2,1167,0,0
2018-07-01,RHQ,other,7915,0,0
2018-07-01,NQT5F,other,2001,10,0
2018-07-01,RTR,1,11711,580,2427
2018-07-01,RTR,other,2363,0,9
2018-07-01,RE9,1,5722,282,1318
2018-07-01,RE9,other,523,1,0
2018-07-01,RVY,1,7001,1456,2233
2018-07-01,RVY,other,3205,24,0
2018-07-01,RBN,1,9988,2552,4470
2018-07-01,RWJ,1,7884,1829,2738
2018-07-01,RWJ,other,1083,0,0
2018-07-01,RMP,1,7746,925,1859
2018-07-01,RMP,other,5159,1,0
2018-07-01,RTD,1,10144,935,2446
2018-07-01,RTD,2,1919,80,16
2018-07-01,RTD,other,8401,6,0
2018-07-01,RFR,1,8728,1186,1563
2018-07-01,NNF76,other,3205,0,0
2018-07-01,RTX,1,8283,1304,2025
2018-07-01,RTX,2,92,0,0
2018-07-01,RTX,other,2859,133,126
2018-07-01,RWW,1,6914,1126,2424
2018-07-01,RWW,other,3138,9,0
2018-07-01,RY7,other,4762,25,0
2018-07-01,RBL,1,7954,1596,2504
2018-07-01,RBL,other,3178,2,0
2018-07-01,AJN,other,532,0,0
2018-07-01,RRF,1,7557,791,2551
2018-07-01,RRF,other,668,0,0
2018-07-01,RCB,1,10643,2169,3945
2018-07-01,RCB,other,8260,97,0
2018-07-01,RTK,1,8428,2017,1952
2018-07-01,RTK,other,303,0,18
2018-07-01,NTV0B,other,3896,0,0
2018-07-01,NQT10,other,3661,0,0
2018-07-01,RWX,other,2404,0,0
2018-07-01,Y04538,other,3628,0,0
2018-07-01,RXH,1,13970,2220,3405
2018-07-01,RXH,2,1177,17,21
