period,org_code,type,attendances,breaches,admissions
2017-05-01,RF4,1,21821,4312,4820
2017-05-01,RF4,2,684,0,0
2017-05-01,RF4,other,2888,1,0
2017-05-01,R1H,1,29615,6075,6339
2017-05-01,R1H,2,733,27,0
2017-05-01,R1H,other,11196,164,0
2017-05-01,AD913,other,4734,3,0
2017-05-01,RYX,other,19780,145,0
2017-05-01,RQM,1,17871,1960,3825
2017-05-01,RQM,other,8117,52,0
2017-05-01,RJ6,1,6439,967,2141
2017-05-01,RJ6,other,7379,245,0
2017-05-01,Y02696,other,1173,0,0
2017-05-01,RVR,1,13172,606,3659
2017-05-01,RVR,2,499,1,3
2017-05-01,RJ1,1,12697,2202,3284
2017-05-01,RJ1,2,868,0,0
2017-05-01,RJ1,other,2943,2,0
2017-05-01,Y03082,other,3540,0,0
2017-05-01,RQX,1,10953,781,1755
2017-05-01,RY9,other,4670,1,0
2017-05-01,RYJ,1,9974,2204,3265
2017-05-01,RYJ,2,4600,23,9
2017-05-01,RYJ,other,11256,249,0
2017-05-01,RJZ,1,17830,3364,4598
2017-05-01,RJZ,2,1783,2,0
2017-05-01,RJZ,other,5333,186,0
2017-05-01,RAX,1,9376,1146,2075
2017-05-01,RAX,2,1084,0,0
2017-05-01,RJ2,1,18334,2525,4449
2017-05-01,RJ2,other,7250,192,0
2017-05-01,R1K,1,12321,4442,4974
2017-05-01,R1K,other,16903,136,0
2017-05-01,RP6,2,8829,178,13
2017-05-01,RAT,other,5600,31,0
2017-05-01,RAP,1,15243,2490,2439
2017-05-01,Y02973,other,721,0,0
2017-05-01,RAL,1,19661,2251,4302
2017-05-01,RAL,other,3493,0,0
2017-05-01,Y03047,other,1988,0,0
2017-05-01,RJ7,1,13709,1562,4176
2017-05-01,RJ7,other,1422,0,0
2017-05-01,F84747,other,2479,0,0
2017-05-01,RAS,1,5857,1837,2120
2017-05-01,RAS,other,8536,158,0
2017-05-01,Y03094,other,3094,0,0
2017-05-01,E84068,other,3302,0,0
2017-05-01,RRV,1,12313,1204,2095
2017-05-01,Y02147,other,10173,0,0
2017-05-01,Y03201,other,2438,0,0
2017-05-01,RKE,1,8699,566,1369
2017-05-01,NL7,other,5607,0,0
2017-05-01,8J094,other,2666,0,0
2017-05-01,RDD,1,12315,1042,2909
2017-05-01,RC1,1,6625,322,2096
2017-05-01,M85813,other,3035,0,0
2017-05-01,RQ3,1,5296,317,918
2017-05-01,RJF,1,5676,704,1734
2017-05-01,RJF,other,4752,0,3
