period,org_code,type,attendances,breaches,admissions
2016-11-01,RF4,1,20117,2612,4441
2016-11-01,RF4,2,647,5,0
2016-11-01,RF4,other,2954,7,0
2016-11-01,R1H,1,28843,5298,6612
2016-11-01,R1H,2,662,0,0
2016-11-01,R1H,other,10435,57,0
2016-11-01,AD913,other,4047,0,0
2016-11-01,RYX,other,18478,182,0
2016-11-01,RQM,1,16478,1985,3399
2016-11-01,RQM,other,7603,107,0
2016-11-01,RJ6,1,6179,1044,2207
2016-11-01,RJ6,other,3669,207,0
2016-11-01,Y02696,other,902,0,0
2016-11-01,NX122,other,2701,0,0
2016-11-01,RVR,1,12294,562,3066
2016-11-01,RVR,2,417,0,7
2016-11-01,RJ1,1,12129,2487,3123
2016-11-01,RJ1,2,699,0,0
2016-11-01,RJ1,other,2920,2,0
2016-11-01,Y03082,other,3804,0,0
2016-11-01,RQX,1,9946,663,1605
2016-11-01,RY9,other,4344,0,0
2016-11-01,RYJ,1,9741,3094,3058
2016-11-01,RYJ,2,3741,16,10
2016-11-01,RYJ,other,10129,134,0
2016-11-01,RJZ,1,16842,4568,4329
2016-11-01,RJZ,2,2075,2,0
2016-11-01,RJZ,other,4826,205,0
2016-11-01,RAX,1,8776,1159,1731
2016-11-01,RAX,2,974,12,0
2016-11-01,RJ2,1,17774,3695,4868
2016-11-01,RJ2,other,5906,312,0
2016-11-01,R1K,1,11526,4062,4715
2016-11-01,R1K,other,16454,122,0
2016-11-01,RP6,2,8035,56,32
2016-11-01,RAT,other,4821,23,0
2016-11-01,RAP,1,13981,2301,2877
2016-11-01,Y02973,other,807,0,0
2016-11-01,AF003,other,406,0,0
2016-11-01,AF002,other,570,0,0
2016-11-01,RAL,1,18771,3278,3816
2016-11-01,RAL,other,3065,1,0
2016-11-01,Y03047,other,1937,0,0
2016-11-01,RJ7,1,12654,911,3709
2016-11-01,RJ7,other,1371,1,0
2016-11-01,F84747,other,2612,0,0
2016-11-01,RAS,1,5701,2295,1766
2016-11-01,RAS,other,7860,93,0
2016-11-01,Y03094,other,3007,0,0
2016-11-01,E84068,other,3323,0,0
2016-11-01,RKE,1,8271,1232,1270
2016-11-01,RRV,1,11512,1673,1979
2016-11-01,Y02147,other,9510,0,0
2016-11-01,Y03201,other,2438,0,0
2016-11-01,NL7,other,4806,0,0
2016-11-01,RDD,1,11284,789,2268
2016-11-01,RC1,1,5998,434,1694
2016-11-01,M85813,other,3191,0,0
2016-11-01,RQ3,1,5680,584,1116
2016-11-01,RJF,1,5081,780,1723
2016-11-01,RJF,other,4073,0,7
2016-11-01,RGT,1,9273,2545,2823
2016-11-01,RGT,other,3001,1,19
2016-11-01,RFS,1,6674,634,1954
2016-11-01,NQ108,other,2123,3,0
2016-11-01,RDE,1,7028,898,2388
2016-11-01,Y03571,other,5760,15,0
2016-11-01,RTG,1,10817,1777,3363
2016-11-01,RTG,other,3808,0,57
2016-11-01,RY8,other,4296,3,0
2016-11-01,NNJ,other,1648,0,0
2016-11-01,RWH,1,9063,1416,3258
2016-11-01,RWH,other,4259,0,0
2016-11-01,NAX,other,336,0,0
2016-11-01,NQ106,other,534,0,0
2016-11-01,RLT,1,6425,931,1129
2016-11-01,NTPAL,other,2180,0,0
2016-11-01,NEH06,other,1838,0,0
2016-11-01,RR1,1,18764,3164,5986
2016-11-01,RR1,other,3222,35,1186
2016-11-01,RY4,other,907,0,0
2016-11-01,RQQ,1,3696,736,734
2016-11-01,RGQ,1,7134,1032,1959
2016-11-01,RGQ,other,368,0,157
2016-11-01,RGP,1,5767,569,1228
2016-11-01,RGP,other,110,0,0
2016-11-01,RNQ,1,7145,1526,2388
2016-11-01,C82038,other,352,0,0
2016-11-01,RY5,other,12535,73,29
2016-11-01,NJS05,other,3484,141,0
2016-11-01,RC9,1,8316,126,2574
2016-11-01,RC9,other,3750,0,0
2016-11-01,C82009,other,330,0,0
2016-11-01,NLO11,other,559,1,0
2016-11-01,NLO09,other,531,5,0
2016-11-01,RQ8,1,7393,1256,2093
2016-11-01,RQ8,other,435,21,0
2016-11-01,RD8,1,7112,969,1327
2016-11-01,RD8,other,4509,0,0
2016-11-01,Y02652,other,4067,0,0
2016-11-01,RM1,1,9373,1410,2392
2016-11-01,RM1,other,793,2,0
2016-11-01,Y02646,other,4790,0,0
2016-11-01,RGN,1,7912,2224,2019
2016-11-01,RGN,other,758,0,0
2016-11-01,RNS,1,8699,1609,2653
2016-11-01,RNS,2,982,1,0
2016-11-01,NMH01,other,5513,0,0
2016-11-01,NR3,other,5174,104,0
2016-11-01,RX1,1,14832,3513,4125
2016-11-01,RX1,2,1503,12,0
2016-11-01,RX1,other,185,1,0
2016-11-01,NLO10,other,2979,18,0
2016-11-01,C82010,other,259,0,0
2016-11-01,NLO12,other,283,6,0
2016-11-01,Y02428,other,2121,0,0
2016-11-01,RXK,1,14002,3224,3228
2016-11-01,RXK,2,2131,13,31
2016-11-01,RXK,other,2729,0,0
2016-11-01,RK5,1,8493,535,2805
2016-11-01,RK5,other,3556,37,14
2016-11-01,RXW,1,9692,2345,2188
2016-11-01,RXW,other,1555,0,0
2016-11-01,R1D,2,467,0,0
2016-11-01,R1D,other,1871,1,0
2016-11-01,Y02615,other,5441,0,0
2016-11-01,RJC,1,5116,201,1702
2016-11-01,RJC,other,614,0,0
2016-11-01,RAJ,1,8083,1862,2239
2016-11-01,Y02961,other,4034,0,0
2016-11-01,RNA,1,8501,1183,2431
2016-11-01,RNA,other,6233,0,0
2016-11-01,RQW,1,8533,2512,1747
2016-11-01,RCX,1,4913,467,1853
2016-11-01,RL4,1,10573,1460,2546
2016-11-01,RL4,other,8614,28,0
2016-11-01,RWD,1,12422,2162,3417
2016-11-01,RRK,1,9422,1759,2682
2016-11-01,RKB,1,12101,2976,3862
2016-11-01,RKB,2,1966,33,96
2016-11-01,RKB,other,2093,6,2
2016-11-01,RWE,1,12570,4447,3642
2016-11-01,RWE,2,1794,48,7
2016-11-01,RWE,other,6153,96,278
2016-11-01,RJE,1,14356,4635,4332
2016-11-01,RJE,2,437,0,0
2016-11-01,RJE,other,4522,6,0
2016-11-01,RBK,1,6175,1843,1872
2016-11-01,RBK,other,3616,1,0
2016-11-01,ATQ02,other,3877,0,0
2016-11-01,RWG,1,7880,1841,2908
2016-11-01,RWG,other,3681,13,0
2016-11-01,RGR,1,5358,830,1931
2016-11-01,RWP,1,9563,3122,2819
2016-11-01,RWP,other,5239,1,0
2016-11-01,R1A,2,692,0,0
2016-11-01,RLQ,1,4398,994,1037
2016-11-01,RLQ,other,2892,0,0
2016-11-01,REM,1,6607,2446,2037
2016-11-01,REM,other,6340,0,0
2016-11-01,RCF,1,4585,421,965
2016-11-01,RBS,1,5228,420,1118
2016-11-01,RFF,1,6788,832,2082
2016-11-01,RXL,1,6752,1687,1913
2016-11-01,RXL,other,8674,1,0
2016-11-01,RMC,1,9209,1889,2319
2016-11-01,RAE,1,11184,1668,2992
2016-11-01,NNF09,other,992,0,0
2016-11-01,RY2,other,7317,25,0
2016-11-01,RWY,1,12238,732,2451
2016-11-01,NTP08,other,3949,4,0
2016-11-01,RW3,1,12637,2357,3853
2016-11-01,RW3,2,3545,14,179
2016-11-01,RW3,other,9437,32,136
2016-11-01,RLN,1,7810,638,2704
2016-11-01,RLN,2,2072,11,39
2016-11-01,RLN,other,2548,1,0
2016-11-01,RJR,1,5662,730,1456
2016-11-01,RJR,other,948,4,0
2016-11-01,RXP,1,10727,1865,3179
2016-11-01,RXP,other,12074,0,0
2016-11-01,RNN,other,1015,7,0
2016-11-01,RP5,1,10868,1247,3322
2016-11-01,RP5,other,2581,0,330
2016-11-01,RJN,1,3976,763,933
2016-11-01,RJN,other,284,0,0
2016-11-01,RXR,1,8965,2636,3086
2016-11-01,RXR,other,6189,428,39
2016-11-01,NNF28,other,391,0,0
2016-11-01,RR7,1,7180,498,1614
2016-11-01,RR7,other,2230,2,0
2016-11-01,RCD,1,3959,295,949
2016-11-01,RCD,other,796,0,0
2016-11-01,RWA,1,10758,2303,3133
2016-11-01,RWA,other,1185,2,0
2016-11-01,RV9,other,1443,0,0
2016-11-01,RXN,1,7255,1880,1838
2016-11-01,RXN,other,3091,29,126
2016-11-01,Y01231,other,2178,0,0
2016-11-01,RR8,1,17848,3721,4802
2016-11-01,RR8,other,1884,1,0
2016-11-01,Y02875,other,3875,0,0
2016-11-01,RY1,other,2327,0,0
2016-11-01,REP,2,1043,5,118
2016-11-01,Y01069,other,2926,0,0
2016-11-01,RBT,1,4886,443,1772
2016-11-01,RBT,other,1759,0,0
2016-11-01,RXF,1,19295,4303,4575
2016-11-01,RNL,1,7325,1038,2101
2016-11-01,RVW,1,5748,327,1542
2016-11-01,RVW,other,1429,3,3
2016-11-01,RTV,other,1659,0,0
2016-11-01,NLO01,other,6000,24,0
2016-11-01,RJL,1,10617,1916,2458
2016-11-01,RJL,other,1254,2,1
2016-11-01,RTF,1,13756,908,3848
2016-11-01,RTF,other,1608,5,1
2016-11-01,RW6,1,22461,5318,5138
2016-11-01,RW6,other,3975,81,94
2016-11-01,RT2,other,4726,0,0
2016-11-01,RQ6,1,7498,2383,2180
2016-11-01,RQ6,2,1828,11,56
2016-11-01,RQ6,other,10097,0,0
2016-11-01,RM3,1,8564,1696,2737
2016-11-01,RCU,1,5089,196,724
2016-11-01,RHQ,1,9067,2265,2549
2016-11-01,RHQ,2,1178,0,0
2016-11-01,RHQ,other,7252,1,3
2016-11-01,RTR,1,10066,705,2224
2016-11-01,RTR,other,4967,0,19
2016-11-01,RE9,1,4827,432,1313
2016-11-01,RE9,other,714,4,0
2016-11-01,RVY,1,6163,685,1919
2016-11-01,RVY,other,4828,4,0
2016-11-01,RBN,1,8559,2225,3410
2016-11-01,RBN,other,5203,6,0
2016-11-01,RWJ,1,7749,1638,2513
2016-11-01,RMP,1,7029,943,1637
2016-11-01,RTD,1,10653,1154,2058
2016-11-01,RTD,2,1768,36,27
2016-11-01,RTD,other,4446,0,3
2016-11-01,RM2,1,8131,1066,2599
2016-11-01,RTX,1,6951,1307,2057
2016-11-01,RTX,other,1373,9,91
2016-11-01,RWW,1,6560,834,2690
2016-11-01,RWW,other,3429,6,0
2016-11-01,RY7,other,5117,13,0
2016-11-01,RBL,1,7840,1179,2485
2016-11-01,RBL,other,2117,18,0
2016-11-01,AJN,other,1538,0,0
2016-11-01,RRF,1,7235,1192,1744
2016-11-01,RCB,1,8771,2708,3224
2016-11-01,RCB,other,6133,3,0
2016-11-01,RTK,1,8510,1081,2024
2016-11-01,RTK,other,1500,0,0
2016-11-01,Y02688,other,3325,2,0
2016-11-01,NQT10,other,3266,0,0
2016-11-01,RWX,other,5049,0,0
2016-11-01,Y04538,other,2915,7,0
2016-11-01,RXH,1,12494,2432,3503
2016-11-01,RXH,2,1116,0,23
2016-11-01,NLW,other,4542,57,0
