period,org_code,type,attendances,breaches,admissions
2017-09-01,RF4,1,19992,3014,4773
2017-09-01,RF4,2,721,1,0
2017-09-01,RF4,other,2513,15,0
2017-09-01,R1H,1,28070,5228,6676
2017-09-01,R1H,2,689,0,0
2017-09-01,R1H,other,10560,46,0
2017-09-01,AD913,other,4364,1,0
2017-09-01,RYX,other,18273,192,0
2017-09-01,RQM,1,16776,1492,3680
2017-09-01,RQM,other,7769,49,0
2017-09-01,RJ6,1,6488,1337,2302
2017-09-01,RJ6,other,8668,47,0
2017-09-01,Y02696,other,1014,0,0
2017-09-01,RVR,1,12183,601,3257
2017-09-01,RVR,2,485,2,9
2017-09-01,RJ1,1,11559,1221,3015
2017-09-01,RJ1,2,698,0,0
2017-09-01,RJ1,other,2902,1,0
2017-09-01,Y03082,other,3773,0,0
2017-09-01,RQX,1,9964,440,1599
2017-09-01,RY9,other,4604,0,0
2017-09-01,RYJ,1,9582,2869,3336
2017-09-01,RYJ,2,3957,40,18
2017-09-01,RYJ,other,10098,151,0
2017-09-01,RJZ,1,16887,3336,4408
2017-09-01,RJZ,2,1581,0,0
2017-09-01,RJZ,other,5103,179,0
2017-09-01,RAX,1,8697,811,1921
2017-09-01,RAX,2,1059,0,0
2017-09-01,RJ2,1,17862,2248,4292
2017-09-01,RJ2,other,5891,149,0
2017-09-01,R1K,1,11272,4847,4664
2017-09-01,R1K,other,15495,123,0
2017-09-01,RP6,2,7937,45,18
2017-09-01,RAT,other,5080,37,0
2017-09-01,RAP,1,13579,1926,2712
2017-09-01,Y02973,other,736,0,0
2017-09-01,RAL,1,17528,3215,3643
2017-09-01,RAL,other,2954,0,0
2017-09-01,Y03047,other,1749,0,0
2017-09-01,RJ7,1,12763,1402,3875
2017-09-01,RJ7,other,1307,1,0
2017-09-01,F84747,other,2219,0,0
2017-09-01,RAS,1,5361,1532,2053
2017-09-01,RAS,other,7670,38,0
2017-09-01,Y03094,other,3122,0,0
2017-09-01,E84068,other,3054,0,0
2017-09-01,RRV,1,10973,1323,1828
2017-09-01,Y02147,other,9437,0,0
2017-09-01,Y03201,other,2303,0,0
2017-09-01,RKE,1,8052,811,1348
2017-09-01,NL7,other,5035,0,0
2017-09-01,8J094,other,2551,0,0
2017-09-01,RDD,1,11470,995,2504
2017-09-01,RC1,1,5996,595,1814
2017-09-01,RC1,other,84,0,0
2017-09-01,M85813,other,3093,0,0
2017-09-01,RQ3,1,4775,439,1074
2017-09-01,RJF,1,5319,754,1821
2017-09-01,RJF,other,4315,0,3
2017-09-01,RGT,1,9385,944,3204
2017-09-01,RGT,other,3134,3,21
2017-09-01,RFS,1,6760,316,1906
2017-09-01,NQ108,other,2563,3,0
2017-09-01,RDE,1,7538,1495,2316
2017-09-01,RDE,other,3971,0,0
2017-09-01,Y03571,other,5771,9,0
2017-09-01,RTG,1,11021,1782,3314
2017-09-01,RTG,other,4015,31,52
2017-09-01,RY8,other,5306,4,0
2017-09-01,NNJ,other,1711,10,0
2017-09-01,Y03007,other,2406,0,0
2017-09-01,NQ106,other,597,3,0
2017-09-01,RLT,1,6680,593,1177
2017-09-01,NEH06,other,1852,0,0
2017-09-01,RR1,1,18926,4465,6138
2017-09-01,RR1,other,3542,24,1198
2017-09-01,RY4,other,931,0,0
2017-09-01,RGQ,1,7195,699,1863
2017-09-01,RGQ,other,657,1,150
2017-09-01,RGP,1,6397,423,1213
2017-09-01,RGP,other,6,0,0
2017-09-01,RNQ,1,7215,1122,2330
2017-09-01,C82038,other,368,0,0
2017-09-01,RY5,other,12574,93,4
2017-09-01,RC9,1,8691,188,2485
2017-09-01,RC9,other,3557,0,0
2017-09-01,C82009,other,323,0,0
2017-09-01,NLO11,other,619,13,0
2017-09-01,NLO09,other,563,1,0
2017-09-01,RQ8,1,8176,794,2371
2017-09-01,RQ8,other,236,2,0
2017-09-01,RD8,1,7404,717,1469
2017-09-01,RD8,other,4377,23,0
2017-09-01,Y02652,other,3471,0,0
2017-09-01,RM1,1,8464,1823,2617
2017-09-01,RM1,other,2364,46,0
2017-09-01,RGN,1,11392,2029,2998
2017-09-01,RGN,other,777,1,0
2017-09-01,RNS,1,8698,1255,2600
2017-09-01,RNS,2,985,2,0
2017-09-01,NMH01,other,5694,0,0
2017-09-01,NR3,other,4233,62,0
2017-09-01,RX1,1,14199,2731,3697
2017-09-01,RX1,2,1404,2,0
2017-09-01,RX1,other,198,3,0
2017-09-01,NLO10,other,3000,48,0
2017-09-01,C82010,other,335,0,0
2017-09-01,NLO12,other,311,2,0
2017-09-01,Y02428,other,2192,0,0
2017-09-01,RXK,1,14266,2146,3030
2017-09-01,RXK,2,1111,9,34
2017-09-01,RXK,other,2427,0,0
2017-09-01,RK5,1,8105,874,2509
2017-09-01,RK5,other,4042,64,4
2017-09-01,RXW,1,10133,2265,2220
2017-09-01,R1D,other,2017,1,0
2017-09-01,C83023,other,632,0,0
2017-09-01,Y02615,other,5459,0,0
2017-09-01,RJC,1,5607,408,1763
2017-09-01,RJC,other,698,0,0
2017-09-01,RAJ,1,8205,1022,2397
2017-09-01,Y02470,other,1854,0,0
2017-09-01,Y02961,other,2729,0,0
2017-09-01,RNA,1,8563,1586,2290
2017-09-01,RNA,other,4494,16,0
2017-09-01,RQW,1,8312,2467,1528
2017-09-01,RCX,1,5258,340,2061
2017-09-01,RL4,1,10884,1476,2579
2017-09-01,RL4,other,7856,132,0
2017-09-01,RWD,1,12605,2940,3481
2017-09-01,RRK,1,9693,1683,2801
2017-09-01,RKB,1,11362,3319,4131
2017-09-01,RKB,2,2113,26,103
2017-09-01,RKB,other,2256,28,2
2017-09-01,RWE,1,17762,3083,4352
2017-09-01,RWE,2,1632,25,8
2017-09-01,RJE,1,13705,4684,4463
2017-09-01,RJE,2,398,0,0
2017-09-01,RJE,other,6304,121,0
2017-09-01,RBK,1,6235,1752,2089
2017-09-01,RBK,other,3407,1,0
2017-09-01,ATQ02,other,3482,0,0
2017-09-01,RWG,1,7713,2125,2859
2017-09-01,RWG,other,3848,5,0
2017-09-01,RGR,1,5743,635,2103
2017-09-01,RWP,1,9817,2716,2921
2017-09-01,RWP,other,5453,0,0
2017-09-01,RLQ,1,4596,998,1156
2017-09-01,RLQ,other,394,0,0
2017-09-01,REM,1,7034,2081,2723
2017-09-01,REM,other,6365,0,0
2017-09-01,RCF,1,5538,379,1128
2017-09-01,RBS,1,4623,230,925
2017-09-01,NNF70,other,432,0,0
2017-09-01,RFF,1,6932,373,1907
2017-09-01,RXL,1,7098,2662,2182
2017-09-01,RXL,other,9512,4,0
2017-09-01,RMC,1,8490,1455,2286
2017-09-01,RMC,other,921,4,33
2017-09-01,RAE,1,10863,1432,2780
2017-09-01,NNF09,other,2175,22,0
2017-09-01,RY2,other,7454,116,0
2017-09-01,RWY,1,12732,1118,2977
2017-09-01,RW3,1,12539,1940,3811
2017-09-01,RW3,2,3422,15,172
2017-09-01,RW3,other,9375,7,136
2017-09-01,RLN,1,7637,741,2603
2017-09-01,RLN,2,2298,18,23
2017-09-01,RLN,other,2882,0,0
2017-09-01,RJR,1,6155,931,2023
2017-09-01,RJR,other,319,7,0
2017-09-01,RXP,1,10874,546,3254
2017-09-01,RXP,other,6330,0,0
2017-09-01,RP5,1,10847,861,3130
2017-09-01,RP5,other,2870,0,451
2017-09-01,RJN,1,4059,670,874
2017-09-01,RJN,other,138,0,0
2017-09-01,RXR,1,8706,1758,3031
2017-09-01,RXR,other,8261,179,41
2017-09-01,RR7,1,7317,375,1622
2017-09-01,RR7,other,2373,0,0
2017-09-01,RCD,1,4065,284,959
2017-09-01,RCD,other,887,1,0
2017-09-01,NNF99,other,248,0,0
2017-09-01,RWA,1,10857,1637,2996
2017-09-01,RWA,other,1240,1,0
2017-09-01,RV9,other,707,3,0
2017-09-01,RXN,1,5501,1746,1617
2017-09-01,RXN,other,6531,163,323
2017-09-01,Y01231,other,2500,0,0
2017-09-01,RR8,1,16952,2618,4868
2017-09-01,RR8,other,2799,2,0
2017-09-01,Y02875,other,3827,0,0
2017-09-01,RY1,other,1976,0,0
2017-09-01,REP,2,959,3,96
2017-09-01,Y01069,other,3158,0,0
2017-09-01,RBT,1,5556,422,1850
2017-09-01,RBT,other,1467,0,0
2017-09-01,RXF,1,19453,2811,3959
2017-09-01,RNL,1,7821,769,2030
2017-09-01,RNL,other,2027,26,0
2017-09-01,RVW,1,3711,386,1541
2017-09-01,RVW,other,9085,10,438
2017-09-01,RTV,other,1787,1,0
2017-09-01,NLO01,other,6269,130,0
2017-09-01,RJL,1,11159,1577,2615
2017-09-01,RJL,other,1364,2,0
2017-09-01,RTF,1,7803,696,3997
2017-09-01,RTF,other,8493,57,28
2017-09-01,Y02572,other,712,0,0
2017-09-01,RW6,1,22676,3812,5836
2017-09-01,RW6,other,4073,188,115
