period,org_code,type,attendances,breaches,admissions
2016-08-01,RF4,1,18825,1724,4271
2016-08-01,RF4,2,689,16,0
2016-08-01,RF4,other,2594,2,0
2016-08-01,R1H,1,27117,3889,6570
2016-08-01,R1H,2,704,2,0
2016-08-01,R1H,other,9374,93,0
2016-08-01,AD913,other,4091,1,0
2016-08-01,RYX,other,17656,38,0
2016-08-01,RQM,1,15084,1110,3198
2016-08-01,RQM,other,6636,20,0
2016-08-01,RJ6,1,5617,597,1658
2016-08-01,RJ6,other,3982,30,0
2016-08-01,Y02696,other,754,0,0
2016-08-01,NX122,other,2238,0,0
2016-08-01,RVR,1,11602,457,2957
2016-08-01,RVR,2,454,2,6
2016-08-01,RJ1,1,11956,1685,3086
2016-08-01,RJ1,2,697,0,0
2016-08-01,RJ1,other,2752,6,0
2016-08-01,Y03082,other,3614,0,0
2016-08-01,RQX,1,9684,339,1522
2016-08-01,RY9,other,4459,0,0
2016-08-01,RYJ,1,9228,2037,3307
2016-08-01,RYJ,2,3869,63,11
2016-08-01,RYJ,other,10566,89,0
2016-08-01,RJZ,1,16316,2572,4394
2016-08-01,RJZ,2,1995,6,0
2016-08-01,RJZ,other,5030,180,0
2016-08-01,RAX,1,8210,799,1557
2016-08-01,RAX,2,1017,0,0
2016-08-01,RJ2,1,16375,2918,4413
2016-08-01,RJ2,other,5336,143,0
2016-08-01,R1K,1,11421,2179,5113
2016-08-01,R1K,other,15490,62,0
2016-08-01,RP6,2,8474,197,46
2016-08-01,RAT,other,4889,10,0
2016-08-01,RAP,1,12147,911,2656
2016-08-01,Y02973,other,668,0,0
2016-08-01,Y02585,other,793,3,0
2016-08-01,AF003,other,522,0,0
2016-08-01,AF002,other,657,0,0
2016-08-01,RAL,1,17629,2066,3636
2016-08-01,RAL,other,3006,0,0
2016-08-01,Y03047,other,1721,0,0
2016-08-01,RJ7,1,12469,1003,3685
2016-08-01,RJ7,other,1345,0,0
2016-08-01,F84747,other,2471,0,0
2016-08-01,RAS,1,4913,2041,1481
2016-08-01,RAS,other,7772,25,0
2016-08-01,Y03094,other,3121,0,0
2016-08-01,E84068,other,2789,0,0
2016-08-01,RKE,1,7513,545,1262
2016-08-01,RRV,1,11302,1066,1973
2016-08-01,Y02147,other,8860,0,0
2016-08-01,Y03201,other,2417,0,0
2016-08-01,NL7,other,4176,0,0
2016-08-01,RDD,1,10678,1272,2080
2016-08-01,RC1,1,5864,508,1686
2016-08-01,RYW,2,160,7,0
2016-08-01,M85813,other,3267,0,0
2016-08-01,RQ3,1,3823,16,790
2016-08-01,RJF,1,5376,1220,1598
2016-08-01,RJF,other,4508,1,3
2016-08-01,RGT,1,9040,1558,3087
2016-08-01,RGT,other,3210,0,0
2016-08-01,RFS,1,6673,896,1871
2016-08-01,NQ108,other,3014,4,0
2016-08-01,RDE,1,7171,1322,2401
2016-08-01,Y03571,other,5436,9,0
2016-08-01,Y02613,other,3747,0,0
2016-08-01,RTG,1,10971,1313,3242
2016-08-01,RTG,other,4051,0,0
2016-08-01,RY8,other,5081,1,0
2016-08-01,NNJ,other,1618,0,0
2016-08-01,RWH,1,8540,2243,2961
2016-08-01,RWH,other,4307,0,0
2016-08-01,NAX,other,689,0,0
2016-08-01,NQ106,other,750,2,0
2016-08-01,RLT,1,6056,278,1087
2016-08-01,NTPAL,other,1878,0,0
2016-08-01,Y02662,other,1585,0,0
2016-08-01,NEH06,other,1877,0,0
2016-08-01,RR1,1,18017,1688,5605
2016-08-01,RR1,other,3558,27,1199
2016-08-01,RY4,other,845,0,0
2016-08-01,RQQ,1,3875,677,930
2016-08-01,RGQ,1,7442,667,1961
2016-08-01,RGQ,other,602,0,145
2016-08-01,RGP,1,6789,718,1175
2016-08-01,RNQ,1,7365,951,2337
2016-08-01,C82038,other,512,0,0
2016-08-01,RY5,other,14094,187,52
2016-08-01,NJS05,other,3710,37,0
2016-08-01,RC9,1,7933,96,2347
2016-08-01,RC9,other,3333,0,0
2016-08-01,C82009,other,354,0,0
2016-08-01,NLO11,other,638,4,0
2016-08-01,NLO09,other,481,0,0
2016-08-01,RQ8,1,7648,1537,2047
2016-08-01,RQ8,other,383,9,0
2016-08-01,RD8,1,7055,1022,1368
