period,org_code,type,attendances,breaches,admissions
2018-08-01,RF4,1,15473,3433,4989
2018-08-01,RF4,2,743,2,0
2018-08-01,RF4,other,7184,73,0
2018-08-01,R1H,1,25099,4820,7715
2018-08-01,R1H,2,833,7,0
2018-08-01,R1H,other,12650,51,0
2018-08-01,AD913,other,4436,0,0
2018-08-01,E84069,other,1438,0,0
2018-08-01,RYX,other,17436,78,0
2018-08-01,RQM,1,16715,1073,3809
2018-08-01,RQM,other,7517,19,0
2018-08-01,RJ6,1,6093,2313,1924
2018-08-01,RJ6,other,9643,55,0
2018-08-01,Y02696,other,775,0,0
2018-08-01,RVR,1,11737,679,3329
2018-08-01,RVR,2,460,0,5
2018-08-01,RVR,other,1915,0,0
2018-08-01,RJ1,1,12819,1793,3398
2018-08-01,RJ1,2,750,0,0
2018-08-01,RJ1,other,3290,4,0
2018-08-01,Y03082,other,3799,78,0
2018-08-01,RQX,1,9696,393,1566
2018-08-01,RY9,other,4051,1,0
2018-08-01,RYJ,1,9501,2513,3263
2018-08-01,RYJ,2,4008,32,12
2018-08-01,RYJ,other,9863,28,0
2018-08-01,RJZ,1,15338,3990,4384
2018-08-01,RJZ,other,6523,264,0
2018-08-01,Y02973,other,772,2,0
2018-08-01,RAX,1,8748,964,2061
2018-08-01,RAX,2,1147,1,0
2018-08-01,RJ2,1,11960,2363,4306
2018-08-01,RJ2,other,11471,184,0
2018-08-01,R1K,1,11123,2011,5891
2018-08-01,R1K,other,15488,77,0
2018-08-01,RP6,2,8034,27,10
2018-08-01,RAT,other,4492,16,0
2018-08-01,RAP,1,7590,1541,2475
2018-08-01,RAP,2,443,0,0
2018-08-01,RAP,other,5071,44,0
2018-08-01,RAL,1,18378,1937,4324
2018-08-01,RAL,other,3120,0,0
2018-08-01,RJ7,1,12596,1240,3870
2018-08-01,RJ7,other,1323,0,0
2018-08-01,RAS,1,5084,2349,1875
2018-08-01,RAS,other,7486,15,0
2018-08-01,Y03094,other,3360,0,0
2018-08-01,Y03218,other,3142,0,0
2018-08-01,E84068,other,2242,0,0
2018-08-01,Y02692,other,2752,0,0
2018-08-01,RRV,1,11221,1386,1893
2018-08-01,Y02147,other,8782,88,0
2018-08-01,RKE,1,8159,814,1320
2018-08-01,NL7,other,4884,0,0
2018-08-01,8J094,other,2930,0,0
2018-08-01,RDD,1,12181,447,3318
2018-08-01,RC1,1,6290,819,1908
2018-08-01,RC1,other,141,0,0
2018-08-01,M85813,other,2926,0,0
2018-08-01,RQ3,1,3663,48,870
2018-08-01,RGT,1,9662,1550,3373
2018-08-01,RGT,other,3552,2,19
2018-08-01,RFS,1,5961,657,2075
2018-08-01,RFS,other,1574,0,0
2018-08-01,NQ108,other,3145,2,0
2018-08-01,Y03571,other,5714,0,0
2018-08-01,RY8,other,6042,0,0
2018-08-01,NNJ,other,1696,8,0
2018-08-01,RWH,1,8850,1976,2889
2018-08-01,RWH,other,4109,6,0
