period,org_code,type,attendances,breaches,admissions
2017-03-01,RF4,1,21289,2879,5060
2017-03-01,RF4,2,813,22,0
2017-03-01,RF4,other,2850,6,0
2017-03-01,R1H,1,30210,5902,6943
2017-03-01,R1H,2,807,11,0
2017-03-01,R1H,other,11352,136,0
2017-03-01,AD913,other,4381,2,0
2017-03-01,RYX,other,19562,258,0
2017-03-01,RQM,1,17414,2030,3597
2017-03-01,RQM,other,7817,86,0
2017-03-01,RJ6,1,6654,1322,2202
2017-03-01,RJ6,other,3844,140,0
2017-03-01,Y02696,other,1069,0,0
2017-03-01,NX122,other,2147,0,0
2017-03-01,RVR,1,12649,473,3360
2017-03-01,RVR,2,544,5,7
2017-03-01,RJ1,1,12385,2092,3181
2017-03-01,RJ1,2,832,0,0
2017-03-01,RJ1,other,2939,5,0
2017-03-01,Y03082,other,4068,0,0
2017-03-01,RQX,1,10300,635,1684
2017-03-01,RY9,other,4676,0,0
2017-03-01,RYJ,1,10020,2632,3270
2017-03-01,RYJ,2,4274,68,12
2017-03-01,RYJ,other,11156,190,0
2017-03-01,RJZ,1,17810,4153,4477
2017-03-01,RJZ,2,2122,1,0
2017-03-01,RJZ,other,5027,186,0
2017-03-01,RAX,1,9239,968,1839
2017-03-01,RAX,2,1163,4,0
2017-03-01,RJ2,1,18137,2993,4967
2017-03-01,RJ2,other,6527,113,0
2017-03-01,R1K,1,12137,4874,4659
2017-03-01,R1K,other,16738,126,0
2017-03-01,RP6,2,9020,281,11
2017-03-01,RAT,other,5561,62,0
2017-03-01,RAP,1,15077,2170,2564
2017-03-01,Y02973,other,856,0,0
2017-03-01,AF003,other,741,0,0
2017-03-01,AF002,other,657,0,0
2017-03-01,RAL,1,19072,3267,3872
2017-03-01,RAL,other,3288,0,0
2017-03-01,Y03047,other,1977,0,0
2017-03-01,RJ7,1,13430,1667,3814
2017-03-01,RJ7,other,1195,0,0
2017-03-01,F84747,other,2541,0,0
2017-03-01,RAS,1,5838,1889,2126
2017-03-01,RAS,other,8448,59,0
2017-03-01,Y03094,other,3125,0,0
2017-03-01,E84068,other,3373,0,0
2017-03-01,RKE,1,8528,990,1347
2017-03-01,RRV,1,12059,1252,2182
2017-03-01,Y02147,other,9912,0,0
2017-03-01,Y03201,other,2414,0,0
2017-03-01,NL7,other,5592,0,0
2017-03-01,8J094,other,2644,0,0
2017-03-01,RDD,1,11981,1075,2468
2017-03-01,RC1,1,6402,306,2022
2017-03-01,M85813,other,3110,0,0
2017-03-01,RQ3,1,5732,173,920
2017-03-01,RJF,1,5360,272,1870
2017-03-01,RJF,other,4580,0,5
2017-03-01,RGT,1,9567,766,3318
2017-03-01,RGT,other,3439,2,16
2017-03-01,RFS,1,6889,631,1996
2017-03-01,NQ108,other,2410,4,0
2017-03-01,RDE,1,7562,651,2597
2017-03-01,RDE,other,4545,0,0
2017-03-01,Y03571,other,6304,77,0
2017-03-01,RTG,1,11780,1773,3745
2017-03-01,RTG,other,4466,0,50
2017-03-01,RY8,other,5316,0,0
2017-03-01,NNJ,other,1710,3,0
2017-03-01,RWH,1,9376,2290,3222
2017-03-01,RWH,other,4832,0,0
2017-03-01,NQ106,other,615,1,0
2017-03-01,RLT,1,6726,799,1119
2017-03-01,NTPAL,other,2159,0,0
2017-03-01,NEH06,other,2116,0,0
2017-03-01,RR1,1,19628,3654,6006
2017-03-01,RR1,other,3528,53,1390
2017-03-01,RY4,other,987,15,0
2017-03-01,RQQ,1,3766,405,856
2017-03-01,RGQ,1,7321,560,1998
2017-03-01,RGQ,other,531,0,199
2017-03-01,RGP,1,6301,318,1242
2017-03-01,RGP,other,55,0,0
2017-03-01,RNQ,1,7653,1546,2555
2017-03-01,C82038,other,451,0,0
2017-03-01,RY5,other,14325,142,18
2017-03-01,NJS05,other,3886,80,0
2017-03-01,RC9,1,8814,172,2650
2017-03-01,RC9,other,4029,0,0
2017-03-01,C82009,other,368,0,0
2017-03-01,NLO11,other,575,1,0
2017-03-01,NLO09,other,621,0,0
2017-03-01,RQ8,1,8163,1371,2291
2017-03-01,RQ8,other,428,7,0
2017-03-01,RD8,1,7692,887,1468
2017-03-01,RD8,other,4697,10,0
2017-03-01,Y02652,other,3822,0,0
2017-03-01,RM1,1,10075,1372,2612
2017-03-01,RM1,other,971,0,0
2017-03-01,RGN,1,7832,993,2406
2017-03-01,RGN,other,828,0,0
2017-03-01,RNS,1,9027,1336,3303
2017-03-01,RNS,2,1104,6,0
2017-03-01,NMH01,other,5502,0,0
2017-03-01,NR3,other,5046,459,0
2017-03-01,RX1,1,15446,3187,4076
2017-03-01,RX1,2,1564,12,0
2017-03-01,RX1,other,220,0,0
2017-03-01,NLO10,other,2994,17,0
2017-03-01,C82010,other,272,0,0
2017-03-01,NLO12,other,309,1,0
2017-03-01,Y02428,other,2300,0,0
2017-03-01,RXK,1,14665,2828,3067
2017-03-01,RXK,2,2087,39,14
2017-03-01,RXK,other,2783,0,0
2017-03-01,RK5,1,8842,599,2765
2017-03-01,RK5,other,4169,26,7
2017-03-01,RXW,1,10371,2217,2441
2017-03-01,RXW,other,1673,0,0
2017-03-01,R1D,other,1987,0,0
2017-03-01,Y02615,other,5493,0,0
2017-03-01,RJC,1,5572,198,1806
2017-03-01,RJC,other,663,0,0
2017-03-01,RAJ,1,8595,680,2314
2017-03-01,Y02470,other,2009,0,0
2017-03-01,Y02961,other,3329,0,0
2017-03-01,RNA,1,9006,679,2425
2017-03-01,RNA,other,6393,0,0
2017-03-01,RQW,1,8737,1935,1835
2017-03-01,RCX,1,5320,496,2049
2017-03-01,RL4,1,11505,1651,2606
2017-03-01,RL4,other,8651,104,0
2017-03-01,RWD,1,13111,2737,3502
