period,org_code,type,attendances,breaches,admissions
2016-09-01,RF4,1,19435,2141,4243
2016-09-01,RF4,2,697,6,0
2016-09-01,RF4,other,2432,0,0
2016-09-01,R1H,1,28857,3879,6846
2016-09-01,R1H,2,769,24,0
2016-09-01,R1H,other,9842,56,0
2016-09-01,AD913,other,4296,1,0
2016-09-01,RYX,other,18729,74,0
2016-09-01,RQM,1,15918,1388,3260
2016-09-01,RQM,other,7187,49,0
2016-09-01,RJ6,1,5885,911,1899
2016-09-01,RJ6,other,3964,249,0
2016-09-01,Y02696,other,773,0,0
2016-09-01,NX122,other,2368,0,0
2016-09-01,RVR,1,12184,353,2952
2016-09-01,RVR,2,493,0,9
2016-09-01,RJ1,1,12240,1745,3166
2016-09-01,RJ1,2,801,0,0
2016-09-01,RJ1,other,3052,1,0
2016-09-01,Y03082,other,3629,0,0
2016-09-01,RQX,1,10089,542,1552
2016-09-01,RY9,other,4430,0,0
2016-09-01,RYJ,1,9515,2595,3219
2016-09-01,RYJ,2,3955,53,10
2016-09-01,RYJ,other,10854,204,0
2016-09-01,RJZ,1,16771,4042,4482
2016-09-01,RJZ,2,2043,8,0
2016-09-01,RJZ,other,5049,242,0
2016-09-01,RAX,1,8796,759,1641
2016-09-01,RAX,2,1056,1,0
2016-09-01,RJ2,1,17094,2873,4715
2016-09-01,RJ2,other,5629,218,0
2016-09-01,R1K,1,11733,3227,5086
2016-09-01,R1K,other,16458,85,0
2016-09-01,RP6,2,8613,102,78
2016-09-01,RAT,other,4685,22,0
2016-09-01,RAP,1,13251,1633,2651
2016-09-01,Y02973,other,738,0,0
2016-09-01,AF003,other,577,0,0
2016-09-01,AF002,other,656,0,0
2016-09-01,RAL,1,18436,2626,3862
2016-09-01,RAL,other,3318,0,0
2016-09-01,Y03047,other,1829,0,0
2016-09-01,RJ7,1,12699,1107,3704
2016-09-01,RJ7,other,1562,0,0
2016-09-01,F84747,other,2532,0,0
2016-09-01,RAS,1,5222,1950,1744
2016-09-01,RAS,other,8114,68,0
2016-09-01,Y03094,other,3277,0,0
2016-09-01,E84068,other,2809,0,0
2016-09-01,RKE,1,8020,531,1205
2016-09-01,RRV,1,11401,1492,2016
2016-09-01,Y02147,other,9182,0,0
2016-09-01,Y03201,other,2460,0,0
2016-09-01,NL7,other,4401,0,0
2016-09-01,RDD,1,11182,1080,2176
2016-09-01,RC1,1,6068,568,1891
2016-09-01,M85813,other,3040,0,0
2016-09-01,RQ3,1,4740,201,1010
2016-09-01,RJF,1,5287,784,1619
2016-09-01,RJF,other,4403,0,5
2016-09-01,RGT,1,9345,2677,2860
2016-09-01,RGT,other,3453,5,21
2016-09-01,RFS,1,6537,565,1868
2016-09-01,NQ108,other,2789,4,0
2016-09-01,RDE,1,7386,413,2526
2016-09-01,Y03571,other,5549,43,0
2016-09-01,Y02613,other,3761,0,0
2016-09-01,RTG,1,11344,1957,3318
2016-09-01,RTG,other,3747,0,0
2016-09-01,RY8,other,5048,2,0
2016-09-01,NNJ,other,1536,0,0
2016-09-01,RWH,1,8891,2291,3011
2016-09-01,RWH,other,4423,0,0
2016-09-01,NAX,other,552,0,0
2016-09-01,NQ106,other,674,0,0
2016-09-01,RLT,1,6363,584,1091
2016-09-01,NTPAL,other,1918,0,0
2016-09-01,Y02662,other,1560,0,0
2016-09-01,NEH06,other,2019,0,0
2016-09-01,RR1,1,18682,2905,5709
2016-09-01,RR1,other,3561,34,1235
2016-09-01,RY4,other,1026,1,0
2016-09-01,RQQ,1,3997,814,917
2016-09-01,RGQ,1,7508,782,1990
2016-09-01,RGQ,other,495,0,163
2016-09-01,RGP,1,6446,759,1203
2016-09-01,RNQ,1,7205,662,2387
2016-09-01,C82038,other,480,0,0
2016-09-01,RY5,other,13425,116,38
2016-09-01,NJS05,other,3550,92,0
2016-09-01,RC9,1,8298,102,2318
2016-09-01,RC9,other,3326,0,0
2016-09-01,C82009,other,426,0,0
2016-09-01,NLO11,other,567,1,0
2016-09-01,NLO09,other,530,0,0
2016-09-01,RQ8,1,7926,1277,2128
2016-09-01,RQ8,other,401,15,0
2016-09-01,RD8,1,7178,671,1219
2016-09-01,RD8,other,4380,5,0
2016-09-01,RM1,1,9787,951,2452
2016-09-01,RM1,other,1034,0,0
2016-09-01,Y02646,other,4787,0,0
2016-09-01,RGN,1,7872,1201,2167
2016-09-01,RGN,other,797,1,1
2016-09-01,RNS,1,8948,1069,2652
2016-09-01,RNS,2,1005,5,0
2016-09-01,NMH01,other,5518,0,0
2016-09-01,NR3,other,4814,20,0
2016-09-01,RX1,1,14328,3001,3805
2016-09-01,RX1,2,1604,29,0
2016-09-01,RX1,other,242,3,0
2016-09-01,NLO10,other,2783,8,0
2016-09-01,C82010,other,328,0,0
2016-09-01,NLO12,other,306,0,0
2016-09-01,Y02428,other,1929,0,0
2016-09-01,RXK,1,14180,2020,2936
2016-09-01,RXK,2,2146,31,27
2016-09-01,RXK,other,2568,0,0
2016-09-01,RK5,1,9138,604,2575
2016-09-01,RK5,other,3176,24,2
2016-09-01,RXW,1,10012,2131,2038
2016-09-01,RXW,other,1493,0,0
2016-09-01,R1D,2,467,0,0
2016-09-01,R1D,other,2167,0,0
2016-09-01,Y02568,other,3519,0,0
2016-09-01,Y02615,other,5105,0,0
2016-09-01,RJC,1,5230,279,1587
2016-09-01,RJC,other,698,0,0
2016-09-01,RAJ,1,8485,1661,2125
2016-09-01,Y02961,other,3308,0,0
2016-09-01,RNA,1,8612,677,2407
2016-09-01,RNA,other,5750,0,0
2016-09-01,RQW,1,8196,2258,1352
2016-09-01,RQW,other,189,1,0
2016-09-01,RCX,1,5325,191,1920
2016-09-01,RL4,1,10999,1123,2556
2016-09-01,RL4,other,7409,7,0
2016-09-01,RWD,1,12673,2737,3392
2016-09-01,RRK,1,9578,1751,2693
2016-09-01,RKB,1,11266,1502,3835
2016-09-01,RKB,2,1981,25,93
2016-09-01,RKB,other,2325,8,5
2016-09-01,RWE,1,12668,3818,3448
2016-09-01,RWE,2,1816,31,8
2016-09-01,RWE,other,5069,83,219
2016-09-01,RJE,1,14011,3986,4183
2016-09-01,RJE,2,423,0,0
2016-09-01,RJE,other,4903,6,0
2016-09-01,RBK,1,6159,1312,1854
2016-09-01,RBK,other,3538,0,0
2016-09-01,ATQ02,other,3690,0,0
2016-09-01,RWG,1,7677,1723,2807
2016-09-01,RWG,other,4224,38,0
2016-09-01,RGR,1,5717,674,1979
2016-09-01,RWP,1,9872,2721,2687
2016-09-01,RWP,other,5915,0,0
2016-09-01,R1A,2,734,0,0
2016-09-01,RLQ,1,4570,1078,1045
2016-09-01,RLQ,other,2772,0,0
2016-09-01,REM,1,6937,2128,2130
2016-09-01,REM,other,6755,0,0
2016-09-01,RCF,1,4723,409,928
2016-09-01,RBS,1,4625,173,1025
2016-09-01,RFF,1,6962,369,1995
2016-09-01,RXL,1,7332,1769,1927
2016-09-01,RXL,other,9308,7,0
2016-09-01,RMC,1,9293,1201,2177
2016-09-01,RAE,1,11070,1308,2778
2016-09-01,NNF09,other,1143,0,0
2016-09-01,RY2,other,7697,86,0
2016-09-01,RWY,1,12911,725,2489
2016-09-01,NTP08,other,3651,0,0
2016-09-01,RW3,1,12756,1928,3787
2016-09-01,RW3,2,3706,7,164
2016-09-01,RW3,other,10129,21,150
2016-09-01,RLN,1,7076,708,2725
2016-09-01,RLN,2,2254,12,32
2016-09-01,RLN,other,2500,3,0
2016-09-01,RJR,1,6246,766,1600
2016-09-01,RJR,other,624,1,0
2016-09-01,RXP,1,10859,1077,3079
2016-09-01,RXP,other,12411,0,0
2016-09-01,RNN,other,1276,9,0
2016-09-01,RP5,1,11409,840,3305
2016-09-01,RP5,other,2894,0,290
2016-09-01,RJN,1,4140,680,977
2016-09-01,RJN,other,329,0,0
2016-09-01,RXR,1,9259,2181,3204
2016-09-01,RXR,other,5782,421,43
2016-09-01,NNF28,other,456,0,0
2016-09-01,RR7,1,7239,315,1545
2016-09-01,RR7,other,2117,1,0
2016-09-01,RCD,1,4015,185,857
2016-09-01,RCD,other,931,0,0
2016-09-01,RWA,1,11011,1635,1587
2016-09-01,RWA,other,1368,0,0
2016-09-01,RV9,other,1804,2,0
2016-09-01,RXN,1,7527,1119,1793
2016-09-01,RXN,other,3247,17,99
2016-09-01,Y01231,other,2489,0,0
2016-09-01,RR8,1,17863,2024,6265
2016-09-01,RR8,other,2227,0,0
2016-09-01,Y02875,other,3686,0,0
2016-09-01,RY1,other,1948,0,0
2016-09-01,REP,2,1164,8,120
2016-09-01,Y01069,other,2806,0,0
2016-09-01,RBT,1,5235,571,1900
2016-09-01,RBT,other,2052,0,0
2016-09-01,RXF,1,19679,3083,4321
2016-09-01,RNL,1,7804,887,1922
2016-09-01,RVW,1,6016,386,1612
2016-09-01,RVW,other,1834,2,3
2016-09-01,RTV,other,1739,0,0
2016-09-01,NLO01,other,5825,40,0
2016-09-01,RJL,1,11207,981,2463
2016-09-01,RJL,other,1647,3,0
2016-09-01,RTF,1,14706,738,3960
2016-09-01,RTF,other,2181,4,1
2016-09-01,RW6,1,22098,3871,4625
2016-09-01,RW6,other,4081,135,122
2016-09-01,RT2,other,4846,1,0
2016-09-01,RQ6,1,7619,2113,2105
2016-09-01,RQ6,2,1891,9,55
2016-09-01,RQ6,other,10282,0,0
2016-09-01,RM3,1,8252,661,2696
2016-09-01,RCU,1,4482,70,635
2016-09-01,RHQ,1,9270,1298,2646
2016-09-01,RHQ,2,1199,1,0
2016-09-01,RHQ,other,6544,0,0
2016-09-01,RTR,1,10703,571,1920
2016-09-01,RTR,other,5247,0,26
2016-09-01,RE9,1,4952,403,1222
2016-09-01,RE9,other,678,4,0
2016-09-01,RVY,1,6436,953,1875
2016-09-01,RVY,other,4839,6,0
2016-09-01,RBN,1,8493,1728,3252
2016-09-01,RBN,other,5449,16,0
2016-09-01,RWJ,1,8008,2309,2270
2016-09-01,RMP,1,7110,1224,1710
2016-09-01,RTD,1,10138,536,2255
2016-09-01,RTD,2,1739,18,24
2016-09-01,RTD,other,4176,0,3
2016-09-01,RFR,1,6439,466,1302
2016-09-01,RM2,1,8183,426,2575
2016-09-01,RTX,1,7384,1556,2053
2016-09-01,RTX,other,1573,64,98
2016-09-01,RWW,1,6729,533,2610
