period,org_code,type,attendances,breaches,admissions
2016-10-01,RF4,1,20513,2797,4570
2016-10-01,RF4,2,637,6,0
2016-10-01,RF4,other,2713,15,0
2016-10-01,R1H,1,29209,5025,6848
2016-10-01,R1H,2,616,0,0
2016-10-01,R1H,other,10343,82,0
2016-10-01,AD913,other,4364,0,0
2016-10-01,RYX,other,19307,99,0
2016-10-01,RQM,1,16564,2061,3563
2016-10-01,RQM,other,7622,90,0
2016-10-01,RJ6,1,6328,1239,2160
2016-10-01,RJ6,other,3617,275,0
2016-10-01,Y02696,other,1139,0,0
2016-10-01,NX122,other,2794,0,0
2016-10-01,RVR,1,12270,327,2973
2016-10-01,RVR,2,444,0,7
2016-10-01,RJ1,1,12482,2152,3205
2016-10-01,RJ1,2,739,0,0
2016-10-01,RJ1,other,2968,2,0
2016-10-01,Y03082,other,3803,0,0
2016-10-01,RQX,1,10183,679,1703
2016-10-01,RY9,other,4737,0,0
2016-10-01,RYJ,1,9713,2905,3266
2016-10-01,RYJ,2,3984,9,8
2016-10-01,RYJ,other,10880,273,0
2016-10-01,RJZ,1,16936,4252,4366
2016-10-01,RJZ,2,1972,2,0
2016-10-01,RJZ,other,5174,245,0
2016-10-01,RAX,1,9267,1068,1747
2016-10-01,RAX,2,1024,6,0
2016-10-01,RJ2,1,17756,3669,4904
2016-10-01,RJ2,other,6136,448,0
2016-10-01,R1K,1,11857,3752,5060
2016-10-01,R1K,other,17477,97,0
2016-10-01,RP6,2,8472,281,43
2016-10-01,RAT,other,4920,31,0
2016-10-01,RAP,1,14014,1729,2950
2016-10-01,Y02973,other,833,0,0
2016-10-01,AF003,other,485,0,0
2016-10-01,AF002,other,596,0,0
2016-10-01,RAL,1,18804,3222,3716
2016-10-01,RAL,other,3392,0,0
2016-10-01,Y03047,other,1911,0,0
2016-10-01,RJ7,1,13155,989,3895
2016-10-01,RJ7,other,1403,0,0
2016-10-01,F84747,other,2509,0,0
2016-10-01,RAS,1,5405,2341,1638
2016-10-01,RAS,other,8209,15,0
2016-10-01,Y03094,other,3256,0,0
2016-10-01,E84068,other,3266,0,0
2016-10-01,RKE,1,8253,979,1214
2016-10-01,RRV,1,11861,1592,1997
2016-10-01,Y02147,other,9443,0,0
2016-10-01,Y03201,other,2567,0,0
2016-10-01,NL7,other,4817,0,0
2016-10-01,RDD,1,11582,1334,2259
2016-10-01,RC1,1,6193,778,1664
2016-10-01,M85813,other,3317,0,0
2016-10-01,RQ3,1,5289,347,1080
2016-10-01,RJF,1,5341,834,1717
2016-10-01,RJF,other,4268,1,6
2016-10-01,RGT,1,9708,2324,2941
2016-10-01,RGT,other,3243,2,0
2016-10-01,RFS,1,6690,551,1986
2016-10-01,NQ108,other,2480,3,0
2016-10-01,RDE,1,7639,1092,2547
2016-10-01,Y03571,other,5824,39,0
2016-10-01,Y02613,other,3979,0,0
2016-10-01,RTG,1,11761,1650,3423
2016-10-01,RTG,other,4131,1,0
2016-10-01,RY8,other,5046,2,0
2016-10-01,NNJ,other,1728,0,0
2016-10-01,RWH,1,9198,1623,3263
2016-10-01,RWH,other,4367,0,0
2016-10-01,NAX,other,388,0,0
2016-10-01,NQ106,other,635,0,0
2016-10-01,RLT,1,6597,927,1091
2016-10-01,NTPAL,other,2068,0,0
2016-10-01,NEH06,other,1945,0,0
2016-10-01,RR1,1,19404,3149,6082
2016-10-01,RR1,other,3569,51,1228
2016-10-01,RY4,other,875,2,0
2016-10-01,RQQ,1,4004,762,871
2016-10-01,RGQ,1,7353,491,1953
2016-10-01,RGQ,other,483,0,172
2016-10-01,RGP,1,6224,884,1178
2016-10-01,RGP,other,185,0,0
2016-10-01,RNQ,1,7404,895,2496
2016-10-01,C82038,other,356,0,0
2016-10-01,RY5,other,13694,150,57
2016-10-01,NJS05,other,3876,157,0
2016-10-01,RC9,1,8723,137,2686
2016-10-01,RC9,other,3763,0,0
2016-10-01,C82009,other,359,0,0
2016-10-01,NLO11,other,591,1,0
2016-10-01,NLO09,other,542,0,0
2016-10-01,RQ8,1,7959,1600,2198
2016-10-01,RQ8,other,430,15,0
2016-10-01,RD8,1,7330,1062,1291
2016-10-01,RD8,other,4852,1,0
