period,org_code,type,attendances,breaches,admissions
2018-12-01,RF4,1,16040,5249,4814
2018-12-01,RF4,2,611,5,0
2018-12-01,RF4,other,9460,95,0
2018-12-01,R1H,1,27102,6311,8291
2018-12-01,R1H,2,678,4,0
2018-12-01,R1H,other,14695,82,0
2018-12-01,AD913,other,4771,8,0
2018-12-01,E84069,other,1956,0,0
2018-12-01,RYX,other,17634,225,0
2018-12-01,RQM,1,18569,1267,4290
2018-12-01,RQM,other,9230,146,0
2018-12-01,RJ6,1,7150,3460,1873
2018-12-01,RJ6,other,11860,230,0
2018-12-01,Y02696,other,1345,0,0
2018-12-01,RVR,1,12555,1679,3528
2018-12-01,RVR,2,414,0,4
2018-12-01,RVR,other,2543,0,0
2018-12-01,RJ1,1,13550,2488,3659
2018-12-01,RJ1,2,702,0,0
2018-12-01,RJ1,other,2551,0,0
2018-12-01,Y03082,other,3277,329,0
2018-12-01,RQX,1,10407,655,1683
2018-12-01,RY9,other,4368,3,0
2018-12-01,RYJ,1,10166,2651,3385
2018-12-01,RYJ,2,3659,7,9
2018-12-01,RYJ,other,9718,78,0
2018-12-01,RJZ,1,15982,6113,4751
2018-12-01,RJZ,other,7696,597,0
2018-12-01,Y02973,other,714,0,0
2018-12-01,RAX,1,9688,1248,2502
2018-12-01,RAX,2,1007,2,0
2018-12-01,RJ2,1,13739,3045,4853
2018-12-01,RJ2,other,11408,394,0
2018-12-01,R1K,1,12713,2910,6577
2018-12-01,R1K,other,18521,204,0
2018-12-01,RP6,2,6993,58,13
2018-12-01,RAT,other,4379,64,0
2018-12-01,RAP,1,8685,2078,2983
2018-12-01,RAP,2,399,1,0
2018-12-01,RAP,other,6415,201,0
2018-12-01,RAL,1,20423,3857,4508
2018-12-01,RAL,other,3283,0,0
2018-12-01,RJ7,1,13046,2070,4084
2018-12-01,RJ7,other,1366,0,0
2018-12-01,RAS,1,6264,2465,1932
2018-12-01,RAS,other,7877,95,0
2018-12-01,Y03094,other,3549,0,0
2018-12-01,Y03218,other,3720,0,0
2018-12-01,RRV,1,11701,2007,1946
2018-12-01,Y02147,other,9281,296,0
2018-12-01,RKE,1,9219,1335,1502
2018-12-01,NL7,other,6336,0,0
2018-12-01,8J094,other,3215,0,0
2018-12-01,RDD,1,13078,666,3399
2018-12-01,RC1,1,6185,532,2101
2018-12-01,RC1,other,863,0,0
2018-12-01,M85813,other,3189,0,0
2018-12-01,RQ3,1,5464,727,1232
2018-12-01,RGT,1,10069,1826,3508
2018-12-01,RGT,other,2982,0,20
2018-12-01,RFS,1,5777,924,2251
2018-12-01,RFS,other,1706,0,0
2018-12-01,NQ108,other,2190,1,0
2018-12-01,Y03571,other,6427,0,0
2018-12-01,RY8,other,5426,0,0
2018-12-01,NNJ,other,2072,29,0
2018-12-01,RWH,1,9344,1733,3290
2018-12-01,RWH,other,3847,0,0
2018-12-01,RDE,1,16135,1916,4917
2018-12-01,RDE,other,5820,19,152
2018-12-01,Y03007,other,2824,0,0
2018-12-01,NQ106,other,453,1,0
2018-12-01,RLT,1,6969,1537,1349
2018-12-01,NEH06,other,1567,0,0
2018-12-01,RY4,other,762,0,0
2018-12-01,RGP,1,6089,823,1568
2018-12-01,RGP,other,452,11,0
2018-12-01,RNQ,1,7858,1614,2711
2018-12-01,C82038,other,146,0,0
2018-12-01,RY5,other,10140,152,1
2018-12-01,NJS05,other,4654,199,0
2018-12-01,RC9,1,8929,247,2858
2018-12-01,RC9,other,4034,0,0
2018-12-01,C82009,other,302,0,0
2018-12-01,NLO11,other,669,78,0
2018-12-01,NLO09,other,539,19,0
2018-12-01,RQ8,1,8412,1936,2354
2018-12-01,RQ8,other,380,15,0
2018-12-01,RD8,1,7149,915,2030
2018-12-01,RD8,other,4923,9,0
2018-12-01,RM1,1,9273,2817,3013
2018-12-01,RM1,other,2181,119,0
2018-12-01,RGN,1,12690,2635,3597
2018-12-01,RGN,other,643,0,0
