period,org_code,type,attendances,breaches,admissions
2017-04-01,RF4,1,19889,3172,4704
2017-04-01,RF4,2,643,10,0
2017-04-01,RF4,other,2390,14,0
2017-04-01,R1H,1,27834,6125,6291
2017-04-01,R1H,2,622,10,0
2017-04-01,R1H,other,11093,193,0
2017-04-01,AD913,other,4617,0,0
2017-04-01,RYX,other,18481,141,0
2017-04-01,RQM,1,15957,1309,3375
2017-04-01,RQM,other,7495,84,0
2017-04-01,RJ6,1,6268,1257,1994
2017-04-01,RJ6,other,6497,223,0
2017-04-01,Y02696,other,1348,0,0
2017-04-01,RVR,1,11961,591,3234
2017-04-01,RVR,2,454,8,8
2017-04-01,RJ1,1,11804,1930,2964
2017-04-01,RJ1,2,688,0,0
2017-04-01,RJ1,other,2672,5,0
2017-04-01,Y03082,other,3627,0,0
2017-04-01,RQX,1,10100,582,1631
2017-04-01,RY9,other,4644,0,0
2017-04-01,RYJ,1,9379,2322,3208
2017-04-01,RYJ,2,4126,17,5
2017-04-01,RYJ,other,10574,142,0
2017-04-01,RJZ,1,16681,3277,4384
2017-04-01,RJZ,2,1564,7,0
2017-04-01,RJZ,other,4923,192,0
2017-04-01,RAX,1,8406,888,1717
2017-04-01,RAX,2,836,0,0
2017-04-01,RJ2,1,16763,2167,4036
2017-04-01,RJ2,other,6822,149,0
2017-04-01,R1K,1,11492,4374,4810
2017-04-01,R1K,other,16159,182,0
2017-04-01,RP6,2,8296,356,13
2017-04-01,RAT,other,5202,34,0
2017-04-01,RAP,1,14111,2487,2286
2017-04-01,Y02973,other,705,0,0
2017-04-01,RAL,1,18379,2666,3755
2017-04-01,RAL,other,3153,1,0
2017-04-01,Y03047,other,1886,0,0
2017-04-01,RJ7,1,12834,1353,3688
2017-04-01,RJ7,other,1412,0,0
2017-04-01,F84747,other,2473,0,0
2017-04-01,RAS,1,5331,1739,1877
2017-04-01,RAS,other,8218,50,0
2017-04-01,Y03094,other,3160,0,0
2017-04-01,E84068,other,3429,0,0
2017-04-01,RRV,1,10925,998,1981
2017-04-01,Y02147,other,9264,0,0
2017-04-01,Y03201,other,2498,0,0
2017-04-01,RKE,1,8285,734,1290
2017-04-01,NL7,other,5518,0,0
2017-04-01,8J094,other,2572,0,0
2017-04-01,RDD,1,11249,886,2491
2017-04-01,RC1,1,6048,301,1842
2017-04-01,M85813,other,2960,0,0
2017-04-01,RQ3,1,4964,250,930
2017-04-01,RJF,1,5241,364,1644
2017-04-01,RJF,other,4528,0,6
2017-04-01,RGT,1,9373,327,3358
2017-04-01,RGT,other,3253,12,25
2017-04-01,RFS,1,7495,674,1866
2017-04-01,NQ108,other,2595,1,0
2017-04-01,RDE,1,7234,1525,2304
2017-04-01,RDE,other,4716,0,0
2017-04-01,Y03571,other,5591,9,0
2017-04-01,RTG,1,11051,1759,3398
2017-04-01,RTG,other,4605,20,49
2017-04-01,RY8,other,5607,0,0
2017-04-01,NNJ,other,2176,0,0
2017-04-01,RWH,1,8585,1400,3067
2017-04-01,RWH,other,4555,14,0
2017-04-01,Y03007,other,2682,0,0
2017-04-01,NQ106,other,601,7,0
2017-04-01,RLT,1,6653,460,1077
2017-04-01,NTPAL,other,2206,0,0
2017-04-01,NEH06,other,1960,0,0
2017-04-01,RR1,1,18492,2908,5487
2017-04-01,RR1,other,3504,36,1167
2017-04-01,RY4,other,778,0,0
2017-04-01,RGQ,1,7215,494,1927
2017-04-01,RGQ,other,482,0,142
2017-04-01,RGP,1,6532,437,1255
2017-04-01,RGP,other,64,0,0
2017-04-01,RNQ,1,7108,1142,2458
2017-04-01,C82038,other,313,0,0
2017-04-01,RY5,other,14171,83,18
2017-04-01,NJS05,other,3985,133,0
2017-04-01,RC9,1,8413,152,2307
2017-04-01,RC9,other,4225,0,0
2017-04-01,C82009,other,275,0,0
2017-04-01,NLO11,other,744,4,0
2017-04-01,NLO09,other,702,4,0
2017-04-01,RQ8,1,7671,775,2192
2017-04-01,RQ8,other,381,2,0
2017-04-01,RD8,1,7280,828,1275
2017-04-01,RD8,other,4559,13,0
2017-04-01,Y02652,other,3848,0,0
2017-04-01,RM1,1,9539,1047,2546
2017-04-01,RM1,other,1056,2,0
2017-04-01,RGN,1,11378,1482,3023
2017-04-01,RGN,other,688,0,0
2017-04-01,RNS,1,8578,1199,2592
2017-04-01,RNS,2,1013,6,0
2017-04-01,NMH01,other,5739,0,0
2017-04-01,NR3,other,5229,383,0
2017-04-01,RX1,1,14170,2774,3934
2017-04-01,RX1,2,1373,18,0
2017-04-01,RX1,other,202,2,0
2017-04-01,NLO10,other,3253,73,0
2017-04-01,C82010,other,260,0,0
2017-04-01,NLO12,other,328,2,0
2017-04-01,Y02428,other,2379,0,0
