period,org_code,type,attendances,breaches,admissions
2016-06-01,RF4,1,19377,3887,4069
2016-06-01,RF4,2,736,27,0
2016-06-01,RF4,other,2679,5,0
2016-06-01,R1H,1,28180,5232,6484
2016-06-01,R1H,2,674,3,0
2016-06-01,R1H,other,9765,78,0
2016-06-01,AD913,other,4234,0,0
2016-06-01,RYX,other,18533,22,0
2016-06-01,RQM,1,16021,970,3398
2016-06-01,RQM,other,7049,31,0
2016-06-01,RJ6,1,5832,501,1885
2016-06-01,RJ6,other,4229,39,0
2016-06-01,Y02696,other,944,0,0
2016-06-01,NX122,other,2615,0,0
2016-06-01,RVR,1,12410,691,3033
2016-06-01,RVR,2,455,3,5
2016-06-01,RJ1,1,12355,1647,3137
2016-06-01,RJ1,2,809,0,0
2016-06-01,RJ1,other,3031,0,0
2016-06-01,Y03082,other,3525,0,0
2016-06-01,RQX,1,10377,745,1580
2016-06-01,RY9,other,4324,0,0
2016-06-01,RYJ,1,9473,2006,3378
2016-06-01,RYJ,2,3959,17,9
2016-06-01,RYJ,other,10615,138,0
2016-06-01,RJZ,1,17247,3730,4577
2016-06-01,RJZ,2,2205,10,0
2016-06-01,RJZ,other,5225,261,0
2016-06-01,RAX,1,8669,781,1650
2016-06-01,RAX,2,953,2,0
2016-06-01,RJ2,1,17107,3597,4004
2016-06-01,RJ2,other,5766,240,0
2016-06-01,R1K,1,11931,2508,5364
2016-06-01,R1K,other,14846,123,0
2016-06-01,RP6,2,8542,97,27
2016-06-01,RAT,other,4792,34,0
2016-06-01,RAP,1,13809,3162,2640
2016-06-01,Y02973,other,785,0,0
2016-06-01,Y02585,other,809,2,0
2016-06-01,AF003,other,506,0,0
2016-06-01,AF002,other,738,0,0
2016-06-01,RAL,1,18731,2142,4035
2016-06-01,RAL,other,3178,0,0
2016-06-01,Y03047,other,1693,0,0
2016-06-01,RJ7,1,12896,858,3820
2016-06-01,RJ7,other,1414,4,0
2016-06-01,F84747,other,2225,0,0
2016-06-01,RAS,1,5023,1601,1649
2016-06-01,RAS,other,8378,37,0
2016-06-01,Y03094,other,2929,0,0
2016-06-01,Y02987,other,1040,0,0
2016-06-01,E84068,other,3184,0,0
2016-06-01,RKE,1,7908,969,1322
2016-06-01,RRV,1,11479,922,2075
2016-06-01,Y02147,other,9233,0,0
2016-06-01,Y03201,other,2215,0,0
2016-06-01,NL7,other,4682,0,0
2016-06-01,RDD,1,11187,2169,2038
2016-06-01,RC1,1,6078,490,1802
2016-06-01,RYW,2,414,0,0
2016-06-01,M85813,other,3247,0,0
2016-06-01,RQ3,1,4656,129,842
2016-06-01,RJF,1,5459,970,1574
2016-06-01,RJF,other,4583,1,0
2016-06-01,RGT,1,9132,2570,2853
2016-06-01,RGT,other,3257,11,0
2016-06-01,RFS,1,6717,1202,1902
2016-06-01,NQ108,other,2596,2,0
2016-06-01,RDE,1,6892,951,2340
2016-06-01,Y03571,other,5770,7,0
2016-06-01,Y02613,other,3959,0,0
2016-06-01,RTG,1,11631,1683,3405
2016-06-01,RTG,other,3808,0,0
2016-06-01,RY8,other,4801,4,0
2016-06-01,NNJ,other,1590,0,0
2016-06-01,RWH,1,8682,1996,3025
2016-06-01,RWH,other,4331,0,0
2016-06-01,NAX,other,596,0,0
2016-06-01,NQ106,other,670,0,0
2016-06-01,RLT,1,6448,322,1136
2016-06-01,NTPAL,other,1915,0,0
2016-06-01,Y02662,other,1142,0,0
2016-06-01,NEH06,other,1905,3,0
2016-06-01,RR1,1,18816,2563,5940
2016-06-01,RR1,other,3669,55,1248
2016-06-01,RY4,other,872,0,0
2016-06-01,RQQ,1,3887,919,804
2016-06-01,RGQ,1,7287,552,1978
2016-06-01,RGQ,other,393,0,151
2016-06-01,RGP,1,6503,514,1056
2016-06-01,RNQ,1,7326,705,2430
2016-06-01,C82038,other,434,0,0
2016-06-01,RY5,other,13324,137,38
2016-06-01,NJS05,other,4013,118,0
2016-06-01,RC9,1,8486,132,2392
2016-06-01,RC9,other,3425,0,0
2016-06-01,C82009,other,376,0,0
2016-06-01,NLO11,other,556,0,0
2016-06-01,NLO09,other,454,0,0
