period,org_code,type,attendances,breaches,admissions
2018-10-01,RF4,1,16552,4513,4958
2018-10-01,RF4,2,830,1,0
2018-10-01,RF4,other,7900,14,0
2018-10-01,R1H,1,27167,5641,8425
2018-10-01,R1H,2,881,2,0
2018-10-01,R1H,other,14205,53,0
2018-10-01,AD913,other,4475,0,0
2018-10-01,E84069,other,1851,0,0
2018-10-01,RYX,other,18777,212,0
2018-10-01,RQM,1,19002,1264,4346
2018-10-01,RQM,other,8083,42,0
2018-10-01,RJ6,1,6649,1933,2310
2018-10-01,RJ6,other,10959,55,0
2018-10-01,Y02696,other,977,0,0
2018-10-01,RVR,1,12604,1270,3219
2018-10-01,RVR,2,477,0,14
2018-10-01,RVR,other,1924,0,0
2018-10-01,RJ1,1,14011,2405,3606
2018-10-01,RJ1,2,870,0,0
2018-10-01,RJ1,other,3197,0,0
2018-10-01,Y03082,other,3364,179,0
2018-10-01,RQX,1,10421,413,1744
2018-10-01,RY9,other,3876,1,0
2018-10-01,RYJ,1,10011,2200,3476
2018-10-01,RYJ,2,4253,30,7
2018-10-01,RYJ,other,10265,66,0
2018-10-01,RJZ,1,16260,4709,4657
2018-10-01,RJZ,other,7002,386,0
2018-10-01,Y02973,other,752,0,0
2018-10-01,RAX,1,9590,875,2271
2018-10-01,RAX,2,1260,6,0
2018-10-01,RJ2,1,13361,2605,4855
2018-10-01,RJ2,other,11828,263,0
2018-10-01,R1K,1,12332,2567,6343
2018-10-01,R1K,other,17641,157,0
2018-10-01,RP6,2,8291,28,9
2018-10-01,RAT,other,5005,30,0
2018-10-01,RAP,1,8452,1854,2839
2018-10-01,RAP,2,476,3,0
2018-10-01,RAP,other,6260,94,0
2018-10-01,RAL,1,20167,2936,4551
2018-10-01,RAL,other,3413,1,0
2018-10-01,RJ7,1,13449,1470,4245
2018-10-01,RJ7,other,1412,0,0
2018-10-01,RAS,1,5564,1998,2078
2018-10-01,RAS,other,8032,62,0
2018-10-01,Y03094,other,3356,0,0
2018-10-01,Y03218,other,3231,0,0
2018-10-01,E84068,other,1785,0,0
2018-10-01,RRV,1,12355,1647,2186
2018-10-01,Y02147,other,9214,220,0
2018-10-01,RKE,1,9082,1072,1392
2018-10-01,NL7,other,5908,0,0
2018-10-01,8J094,other,2818,0,0
2018-10-01,RDD,1,13169,726,2635
2018-10-01,RC1,1,6074,623,2052
2018-10-01,RC1,other,1004,0,0
2018-10-01,M85813,other,3503,0,0
2018-10-01,RQ3,1,5285,465,1352
2018-10-01,RGT,1,10193,1914,3343
2018-10-01,RGT,other,3405,1,17
2018-10-01,RFS,1,6081,967,2223
2018-10-01,RFS,other,1546,0,0
2018-10-01,NQ108,other,2588,1,0
2018-10-01,Y03571,other,6220,0,0
2018-10-01,RY8,other,5676,0,0
2018-10-01,NNJ,other,1748,0,0
2018-10-01,RWH,1,9718,1724,3156
2018-10-01,RWH,other,4408,6,0
2018-10-01,RDE,1,16076,1054,4620
2018-10-01,RDE,other,5361,10,134
2018-10-01,Y03007,other,2617,0,0
2018-10-01,NQ106,other,543,0,0
2018-10-01,RLT,1,6953,1140,1329
2018-10-01,NEH06,other,1959,0,0
2018-10-01,RY4,other,1058,0,0
2018-10-01,RGP,1,5966,636,1477
2018-10-01,RGP,other,651,5,0
2018-10-01,RNQ,1,7872,1026,2796
2018-10-01,C82038,other,190,0,0
2018-10-01,RY5,other,10217,166,1
2018-10-01,NJS05,other,4287,170,0
2018-10-01,RC9,1,8867,200,2553
2018-10-01,RC9,other,3361,0,0
2018-10-01,C82009,other,398,0,0
2018-10-01,NLO11,other,550,6,0
2018-10-01,NLO09,other,504,5,0
2018-10-01,RQ8,1,8516,1150,2378
2018-10-01,RQ8,other,402,7,0
2018-10-01,RD8,1,7374,1175,1922
2018-10-01,RD8,other,4429,7,0
2018-10-01,RM1,1,9399,1817,2961
2018-10-01,RM1,other,2550,62,0
2018-10-01,RGN,1,12219,968,3690
2018-10-01,RGN,other,865,0,0
2018-10-01,RNS,1,8636,1465,3035
2018-10-01,RNS,2,1128,8,0
2018-10-01,RNS,other,1393,0,0
2018-10-01,NMH01,other,5024,0,0
2018-10-01,NR3,other,4646,1,0
2018-10-01,RX1,1,13035,4311,4035
2018-10-01,RX1,2,1769,15,0
2018-10-01,RX1,other,2943,84,0
2018-10-01,NLO10,other,2060,54,0
2018-10-01,C82010,other,315,0,0
2018-10-01,NLO12,other,261,0,0
2018-10-01,Y02428,other,1454,0,0
2018-10-01,RXK,1,13183,3263,3121
2018-10-01,RXK,2,1180,11,35
2018-10-01,RXK,other,3022,11,0
2018-10-01,RK5,1,8917,680,2944
2018-10-01,RK5,other,4149,49,1
2018-10-01,RXW,1,9372,3291,2366
2018-10-01,RXW,other,1892,33,51
2018-10-01,R1D,other,2434,3,0
2018-10-01,C83023,other,600,0,0
2018-10-01,Y02615,other,6053,0,0
2018-10-01,RJC,1,5877,149,1921
2018-10-01,RJC,other,697,0,0
2018-10-01,RAJ,1,7125,821,2230
2018-10-01,RAJ,other,1598,26,290
2018-10-01,Y02961,other,2751,0,0
2018-10-01,RNA,1,8930,1704,2255
2018-10-01,RNA,other,5458,0,0
2018-10-01,RQW,1,8868,1318,2522
2018-10-01,RCX,1,5572,889,2121
2018-10-01,RL4,1,11771,1541,2866
2018-10-01,RL4,other,8226,99,0
2018-10-01,RWD,1,12288,4319,3847
2018-10-01,RWD,other,1708,0,0
2018-10-01,RRK,1,30570,7089,10770
2018-10-01,RRK,other,3355,30,1468
2018-10-01,RKB,1,12519,1937,4407
2018-10-01,RKB,2,2033,8,105
2018-10-01,RKB,other,6025,78,2
2018-10-01,RTG,1,17169,2911,5508
2018-10-01,RTG,other,9320,3,143
2018-10-01,RWE,1,19610,4602,4872
2018-10-01,RWE,2,1884,53,13
2018-10-01,RJE,1,15139,2737,5882
2018-10-01,RJE,2,449,0,0
2018-10-01,RJE,other,6627,1,0
2018-10-01,RBK,1,6637,1307,2175
2018-10-01,RBK,other,3532,0,0
2018-10-01,ATQ02,other,3220,0,0
2018-10-01,RWG,1,8523,1919,3187
2018-10-01,RWG,other,3908,11,0
2018-10-01,RGR,1,5821,422,2084
2018-10-01,RGR,other,435,0,0
2018-10-01,RWP,1,10563,4098,3137
2018-10-01,RWP,other,5866,6,0
2018-10-01,RLQ,1,5153,1403,1313
2018-10-01,RLQ,other,445,0,0
2018-10-01,REM,1,7676,1656,3652
2018-10-01,REM,other,382,0,0
2018-10-01,RCF,1,5019,435,1436
2018-10-01,RCF,2,685,0,0
2018-10-01,RCF,other,268,0,0
2018-10-01,RBS,1,5428,493,1170
2018-10-01,RFF,1,8156,377,2284
2018-10-01,RXL,1,6577,2706,2414
2018-10-01,RXL,other,11804,84,0
2018-10-01,RMC,1,9004,866,2308
2018-10-01,RMC,other,1020,7,17
2018-10-01,RAE,1,10640,2255,2982
2018-10-01,RAE,other,1076,7,96
2018-10-01,NNF09,other,2482,5,0
2018-10-01,RY2,other,11783,70,0
2018-10-01,RWY,1,12914,1251,3107
2018-10-01,RLN,1,8345,980,2892
2018-10-01,RLN,2,2064,79,27
2018-10-01,RLN,other,2891,6,0
2018-10-01,RJR,1,6192,1150,1850
2018-10-01,RJR,other,600,2,0
2018-10-01,RXP,1,11185,1288,3644
2018-10-01,RXP,other,6607,0,0
2018-10-01,RP5,1,11987,1140,3558
2018-10-01,RP5,other,2589,3,421
2018-10-01,Y01231,other,2497,11,0
2018-10-01,Y01069,other,3091,0,0
2018-10-01,RJN,1,4080,981,974
2018-10-01,RJN,other,171,0,0
2018-10-01,RXR,1,9912,2426,3770
2018-10-01,RXR,other,5931,189,43
2018-10-01,NNF94,other,2213,3,0
2018-10-01,RR7,1,8003,630,1759
2018-10-01,RR7,other,2435,0,0
2018-10-01,NNFA7,other,1281,2,0
2018-10-01,RCD,1,4464,232,1038
2018-10-01,RCD,other,783,1,0
2018-10-01,RWA,1,11602,965,2956
2018-10-01,RV9,other,617,0,0
2018-10-01,RXN,1,6519,2007,2232
2018-10-01,RXN,other,6739,229,429
2018-10-01,RR8,1,17884,3721,5257
2018-10-01,RR8,other,3873,9,0
2018-10-01,REP,2,1100,45,100
2018-10-01,R0A,1,22171,6021,6938
2018-10-01,R0A,2,3727,40,198
2018-10-01,R0A,other,9832,38,181
2018-10-01,RW4,other,2445,0,0
2018-10-01,RBT,1,5998,1162,2403
2018-10-01,RBT,other,2059,7,0
2018-10-01,RXF,1,17824,3460,3946
2018-10-01,RXF,other,3466,29,164
2018-10-01,Y02532,other,1682,0,0
2018-10-01,Y03645,other,408,0,0
2018-10-01,RNL,1,8047,818,2214
2018-10-01,RNL,other,1721,3,0
2018-10-01,RVW,1,3898,469,1552
2018-10-01,RVW,other,10983,18,636
2018-10-01,RTV,other,9995,99,0
2018-10-01,NLO01,other,4260,19,0
2018-10-01,RJL,1,12088,1641,3138
2018-10-01,RTF,1,9077,616,4536
2018-10-01,RTF,other,10252,68,14
2018-10-01,Y02572,other,707,0,0
2018-10-01,Y02533,other,334,0,0
2018-10-01,RW6,1,23546,4460,6617
2018-10-01,RW6,other,10393,223,110
2018-10-01,RT2,other,3495,0,0
2018-10-01,AC008,other,1133,0,0
2018-10-01,RQ6,1,8172,2609,2524
2018-10-01,RQ6,2,2141,2,28
2018-10-01,RQ6,other,10120,0,0
2018-10-01,RM3,1,8787,1559,2923
2018-10-01,RM3,other,508,0,0
2018-10-01,AXT02,other,3765,0,0
2018-10-01,RCU,1,5016,180,756
2018-10-01,RCU,other,190,0,0
2018-10-01,RHQ,1,9504,2015,2915
2018-10-01,RHQ,2,1236,0,0
2018-10-01,RHQ,other,8193,0,0
2018-10-01,NQT5F,other,1956,14,0
2018-10-01,RTR,1,11198,497,2451
2018-10-01,RTR,other,1921,0,12
2018-10-01,RE9,1,5247,171,1268
2018-10-01,RE9,other,497,0,0
2018-10-01,RVY,1,7142,1155,2668
2018-10-01,RVY,other,3241,50,0
2018-10-01,RBN,1,9889,1569,4644
2018-10-01,RWJ,1,7337,2409,2464
2018-10-01,RWJ,other,943,7,78
2018-10-01,RMP,1,7494,818,1918
2018-10-01,RMP,other,5229,1,0
2018-10-01,RTD,1,10812,793,2447
2018-10-01,RTD,2,2117,25,23
2018-10-01,RTD,other,8768,5,4
2018-10-01,RFR,1,8404,949,1589
2018-10-01,NNF76,other,3460,0,0
2018-10-01,RTX,1,8161,1393,2242
2018-10-01,RTX,2,74,0,92
2018-10-01,RTX,other,1876,138,202
2018-10-01,RWW,1,6823,1684,2273
2018-10-01,RWW,other,2815,53,0
2018-10-01,RY7,other,4165,9,0
2018-10-01,RBL,1,7883,2404,2514
2018-10-01,RBL,other,2937,1,0
2018-10-01,AJN,other,513,0,0
2018-10-01,RRF,1,7114,1267,2451
2018-10-01,RRF,other,672,0,0
2018-10-01,RCB,1,10423,1512,3861
2018-10-01,RCB,other,6537,33,0
2018-10-01,RTK,1,8528,1846,2038
2018-10-01,RTK,other,192,0,9
2018-10-01,NTV0B,other,3376,0,0
2018-10-01,NQT10,other,3613,94,0
2018-10-01,RWX,other,2065,0,0
2018-10-01,Y04538,other,3109,0,0
2018-10-01,RXH,1,13588,2825,3229
2018-10-01,RXH,2,1263,40,24
2018-10-01,Y02676,other,1630,1,0
2018-10-01,RXQ,1,6525,1461,3380
2018-10-01,RXQ,2,1244,0,898
2018-10-01,RXQ,other,5114,8,0
2018-10-01,RN7,1,9249,1353,2597
2018-10-01,RN7,other,1761,16,0
2018-10-01,Y00751,other,3894,28,0
2018-10-01,RVV,1,15212,3593,3980
2018-10-01,RVV,other,3652,12,250
2018-10-01,RXC,1,10069,677,3169
2018-10-01,RXC,other,745,0,0
2018-10-01,Y02816,other,398,0,0
2018-10-01,NDJ,other,1538,0,0
2018-10-01,RDU,1,20202,2207,6258
2018-10-01,RN5,1,9571,2058,2554
2018-10-01,RN5,other,912,9,0
2018-10-01,NDA57,other,603,4,0
2018-10-01,Y03051,other,1851,0,0
2018-10-01,R1F,1,3713,858,944
2018-10-01,R1F,other,738,0,0
2018-10-01,RYY,other,6758,16,0
2018-10-01,RWF,1,12861,1456,4115
2018-10-01,RWF,other,2131,3,0
2018-10-01,RPA,1,7710,1750,2065
2018-10-01,RPA,other,2911,9,0
2018-10-01,RNU,other,2845,83,0
2018-10-01,RTH,1,11414,1422,3281
2018-10-01,RTH,2,1736,0,77
2018-10-01,RTH,other,535,2,25
2018-10-01,RHU,1,10195,3063,3430
2018-10-01,RHU,2,842,0,0
2018-10-01,RHU,other,2051,2,5
2018-10-01,RPC,other,913,0,31
2018-10-01,RHW,1,9827,1415,3149
2018-10-01,RHW,2,1562,61,1
2018-10-01,RHW,other,830,0,0
2018-10-01,RA2,1,6395,879,2406
2018-10-01,NTP11,other,4382,35,0
2018-10-01,RW1,other,717,0,2
2018-10-01,NTPAD,other,5101,6,0
2018-10-01,RTP,1,8076,606,2495
2018-10-01,RTP,other,724,0,0
2018-10-01,RDR,other,9860,70,0
2018-10-01,RHM,1,8857,1599,3103
2018-10-01,RHM,2,1593,204,35
2018-10-01,RHM,other,2155,3,21
2018-10-01,RYR,1,11970,797,3631
2018-10-01,G82071,other,2734,0,0
2018-10-01,NTV0W,other,3450,1,0
2018-10-01,NLW,other,4959,6,0
2018-10-01,NLT02,other,1259,0,0
2018-10-01,RBD,1,3911,189,1405
2018-10-01,RBD,other,4248,5,0
2018-10-01,DD401,other,1154,1,0
2018-10-01,R1J,other,5944,68,1
2018-10-01,RTE,1,12610,1193,3871
2018-10-01,RN3,1,7054,1479,2265
2018-10-01,RN3,other,4712,69,0
2018-10-01,RVJ,1,7848,1343,3018
2018-10-01,RBZ,1,3948,629,1193
2018-10-01,RBZ,other,936,0,0
2018-10-01,L83087,other,163,0,0
2018-10-01,NQT5H,other,687,6,0
2018-10-01,RD3,1,5660,444,1905
2018-10-01,RD3,other,1808,2,0
2018-10-01,REF,1,6479,1119,2683
2018-10-01,REF,other,11053,75,17
2018-10-01,RH8,1,7942,1022,2049
2018-10-01,RH8,other,4174,0,0
2018-10-01,RD1,1,6440,1363,2541
2018-10-01,RD1,other,1002,2,24
2018-10-01,RNZ,1,4108,752,1216
2018-10-01,RNZ,2,319,0,0
2018-10-01,Y02666,other,1204,0,0
2018-10-01,RH5,other,7562,74,0
2018-10-01,RYF,other,1452,10,0
2018-10-01,RBA,1,6220,623,2179
2018-10-01,AAH,other,198,0,0
2018-10-01,RDZ,1,6282,526,1815
2018-10-01,RDZ,2,1381,5,3
2018-10-01,RDZ,other,876,0,0
2018-10-01,RA9,1,6241,1378,2454
2018-10-01,RA9,other,3029,1,0
2018-10-01,RA7,1,10265,1320,3277
2018-10-01,RA7,2,2174,29,14
2018-10-01,RK9,1,8716,2664,3055
2018-10-01,RK9,2,243,0,0
2018-10-01,RK9,other,4203,37,0
2018-10-01,RA3,1,4133,525,1120
2018-10-01,AXG,other,2948,18,0
2018-10-01,NLX24,other,1748,1,0
2018-10-01,RA4,1,4502,108,1487
