period,org_code,type,attendances,breaches,admissions
2019-01-01,RF4,1,16428,7363,4607
2019-01-01,RF4,2,789,2,0
2019-01-01,RF4,other,10424,77,0
2019-01-01,R1H,1,28273,7277,8544
2019-01-01,R1H,2,885,18,0
2019-01-01,R1H,other,14827,75,0
2019-01-01,AD913,other,4675,2,0
2019-01-01,E84069,other,1917,0,0
2019-01-01,RYX,other,18386,254,0
2019-01-01,RQM,1,19897,1587,4517
2019-01-01,RQM,other,10133,147,0
2019-01-01,RJ6,1,7520,3820,1815
2019-01-01,RJ6,other,12381,268,0
2019-01-01,Y02696,other,1236,0,0
2019-01-01,RVR,1,13020,1944,3673
2019-01-01,RVR,2,478,0,8
2019-01-01,RVR,other,2347,0,0
2019-01-01,RJ1,1,14080,2237,3799
2019-01-01,RJ1,2,863,15,0
2019-01-01,RJ1,other,3058,3,0
2019-01-01,Y03082,other,3571,469,0
2019-01-01,RQX,1,11052,824,1756
2019-01-01,RY9,other,4321,2,0
2019-01-01,RYJ,1,10732,3297,3339
2019-01-01,RYJ,2,4081,12,11
2019-01-01,RYJ,other,10549,73,0
2019-01-01,RJZ,1,16678,6685,4712
2019-01-01,RJZ,other,7990,808,0
2019-01-01,Y02973,other,809,0,0
2019-01-01,RAX,1,10050,1474,2652
2019-01-01,RAX,2,1154,1,0
2019-01-01,RJ2,1,13874,3637,4634
2019-01-01,RJ2,other,12311,610,0
2019-01-01,R1K,1,13019,4289,6519
2019-01-01,R1K,other,19337,367,0
2019-01-01,RP6,2,7850,35,9
2019-01-01,RAT,other,4943,28,0
2019-01-01,RAP,1,9045,2725,2980
2019-01-01,RAP,2,439,0,0
2019-01-01,RAP,other,6913,410,0
2019-01-01,RAL,1,21082,3659,4745
2019-01-01,RAL,other,3612,2,0
2019-01-01,RJ7,1,13799,2413,4210
2019-01-01,RJ7,other,1429,0,0
2019-01-01,RAS,1,6272,2687,1930
2019-01-01,RAS,other,8153,102,0
2019-01-01,Y03094,other,3622,0,0
2019-01-01,Y03218,other,4597,0,0
2019-01-01,RRV,1,12165,2026,2024
2019-01-01,Y02147,other,9616,181,0
2019-01-01,RKE,1,9594,1343,1472
2019-01-01,NL7,other,6198,0,0
2019-01-01,8J094,other,3315,0,0
2019-01-01,RDD,1,14053,1234,3521
2019-01-01,RC1,1,6358,824,2036
2019-01-01,RC1,other,815,0,0
2019-01-01,M85813,other,3484,0,0
2019-01-01,RQ3,1,5344,883,1166
2019-01-01,RGT,1,10815,2591,3742
2019-01-01,RGT,other,3166,0,23
2019-01-01,RFS,1,6118,1109,2239
2019-01-01,RFS,other,1721,0,0
2019-01-01,NQ108,other,2390,3,0
2019-01-01,Y03571,other,7451,0,0
2019-01-01,RY8,other,5505,1,0
2019-01-01,NNJ,other,1998,6,0
2019-01-01,RWH,1,9575,2016,3316
2019-01-01,RWH,other,4115,5,0
2019-01-01,RDE,1,16576,2404,4955
2019-01-01,RDE,other,6130,57,150
2019-01-01,Y03007,other,2808,0,0
2019-01-01,NQ106,other,474,0,0
2019-01-01,RLT,1,6957,1566,1330
2019-01-01,NEH06,other,1676,0,0
2019-01-01,RY4,other,954,1,0
2019-01-01,RGP,1,5940,989,1575
2019-01-01,RGP,other,673,23,0
2019-01-01,RNQ,1,8176,2255,2645
2019-01-01,C82038,other,182,0,0
2019-01-01,RY5,other,9865,169,0
2019-01-01,NJS05,other,4484,40,0
2019-01-01,RC9,1,9174,268,3153
2019-01-01,RC9,other,4191,0,0
2019-01-01,C82009,other,330,0,0
2019-01-01,NLO11,other,591,0,0
2019-01-01,NLO09,other,529,0,0
2019-01-01,RQ8,1,8452,1987,2333
2019-01-01,RQ8,other,443,29,0
2019-01-01,RD8,1,7412,1679,1961
2019-01-01,RD8,other,4871,25,0
2019-01-01,RM1,1,9225,3636,3087
2019-01-01,RM1,other,2379,216,0
2019-01-01,RGN,1,13032,3518,3557
2019-01-01,RGN,other,723,0,1
2019-01-01,RNS,1,8940,2481,3131
2019-01-01,RNS,2,1175,11,0
2019-01-01,RNS,other,1514,0,0
2019-01-01,NMH01,other,5225,0,0
2019-01-01,NR3,other,4818,16,0
2019-01-01,RX1,1,15705,6139,4511
2019-01-01,RX1,2,1504,18,0
2019-01-01,RX1,other,156,3,0
2019-01-01,NLO10,other,2198,1,0
2019-01-01,C82010,other,281,0,0
2019-01-01,NLO12,other,278,0,0
2019-01-01,Y02428,other,1906,0,0
2019-01-01,RXK,1,13809,3956,3846
2019-01-01,RXK,2,1078,7,33
2019-01-01,RXK,other,3155,0,0
2019-01-01,RK5,1,9183,960,3265
2019-01-01,RK5,other,4699,151,7
2019-01-01,RXW,1,9511,3680,2833
2019-01-01,RXW,other,2199,77,58
2019-01-01,R1D,other,2129,0,0
2019-01-01,C83023,other,664,0,0
2019-01-01,Y02615,other,6230,0,0
2019-01-01,RJC,1,5940,657,1965
2019-01-01,RJC,other,660,0,0
2019-01-01,RAJ,1,6898,1813,2552
2019-01-01,RAJ,other,2031,43,395
2019-01-01,Y02961,other,3054,0,0
2019-01-01,RNA,1,9474,3111,2303
2019-01-01,RNA,other,6241,7,0
2019-01-01,RQW,1,9168,2948,2207
2019-01-01,RCX,1,5681,1428,2258
2019-01-01,RL4,1,12311,2377,2932
2019-01-01,RL4,other,9270,164,0
2019-01-01,RWD,1,12107,4906,4086
2019-01-01,RWD,other,2124,0,0
2019-01-01,RRK,1,31935,12502,11493
2019-01-01,RRK,other,3089,73,1570
2019-01-01,RKB,1,12836,3037,4670
2019-01-01,RKB,2,1955,0,84
2019-01-01,RKB,other,6222,201,2
2019-01-01,RTG,1,18063,5395,6007
2019-01-01,RTG,other,9159,39,114
2019-01-01,RWE,1,19990,6319,5254
2019-01-01,RWE,2,1692,28,10
2019-01-01,RJE,1,15183,4257,6323
2019-01-01,RJE,2,462,0,0
2019-01-01,RJE,other,6310,37,0
2019-01-01,RBK,1,7026,2320,2197
2019-01-01,RBK,other,2626,14,0
2019-01-01,ATQ02,other,3232,0,25
2019-01-01,RWG,1,8828,3369,3129
2019-01-01,RWG,other,4317,6,0
2019-01-01,RGR,1,5962,839,2242
2019-01-01,RGR,other,409,0,0
2019-01-01,RWP,1,10574,4492,3182
2019-01-01,RWP,other,5217,1,0
2019-01-01,RLQ,1,4952,1520,1500
2019-01-01,REM,1,7790,1739,3681
2019-01-01,REM,other,401,2,0
2019-01-01,RCF,1,5103,715,1581
2019-01-01,RCF,2,643,0,0
2019-01-01,RCF,other,92,0,0
2019-01-01,RBS,1,5243,413,1030
2019-01-01,RFF,1,8862,790,2599
2019-01-01,RXL,1,6343,3016,2563
2019-01-01,RXL,other,11722,78,0
2019-01-01,RMC,1,9113,1775,2355
2019-01-01,RMC,other,1017,7,32
2019-01-01,RAE,1,10240,2733,2983
