period,org_code,type,attendances,breaches,admissions
2018-02-01,RF4,1,18668,5628,4436
2018-02-01,RF4,2,671,0,0
2018-02-01,RF4,other,2699,74,0
2018-02-01,R1H,1,25341,6000,7070
2018-02-01,R1H,2,763,5,0
2018-02-01,R1H,other,13286,59,0
2018-02-01,AD913,other,3999,2,0
2018-02-01,E84069,other,1675,0,0
2018-02-01,Y02692,other,3607,0,0
2018-02-01,RYX,other,16855,196,0
2018-02-01,RQM,1,16205,1328,3436
2018-02-01,RQM,other,8047,39,0
2018-02-01,RJ6,1,6309,1955,1843
2018-02-01,RJ6,other,9691,107,0
2018-02-01,Y02696,other,1199,0,0
2018-02-01,RVR,1,11224,1595,3083
2018-02-01,RVR,2,470,0,10
2018-02-01,RVR,other,843,0,0
2018-02-01,RJ1,1,11904,1939,3129
2018-02-01,RJ1,2,730,0,0
2018-02-01,RJ1,other,2768,2,0
2018-02-01,Y03082,other,3681,0,0
2018-02-01,RQX,1,9545,534,1568
2018-02-01,RY9,other,4375,6,0
2018-02-01,RYJ,1,9033,3710,2933
2018-02-01,RYJ,2,3567,42,18
2018-02-01,RYJ,other,9049,70,0
2018-02-01,RJZ,1,14353,5103,3938
2018-02-01,RJZ,other,6290,352,0
2018-02-01,RAX,1,8124,1382,1943
2018-02-01,RAX,2,949,0,0
2018-02-01,RJ2,1,11969,2975,4106
2018-02-01,RJ2,other,11040,347,0
2018-02-01,R1K,1,11140,3216,5658
2018-02-01,R1K,other,15887,308,0
2018-02-01,RP6,2,6761,47,13
2018-02-01,RAT,other,4487,32,0
2018-02-01,RAP,1,14041,2477,2641
2018-02-01,Y02973,other,846,0,0
2018-02-01,RAL,1,17829,2798,3735
2018-02-01,RAL,other,2930,3,0
2018-02-01,Y03047,other,1759,0,0
2018-02-01,RJ7,1,11760,2145,3552
2018-02-01,RJ7,other,1252,0,0
2018-02-01,F84747,other,2321,0,0
2018-02-01,RAS,1,5088,2488,1829
2018-02-01,RAS,other,7436,76,0
2018-02-01,Y03094,other,2970,0,0
2018-02-01,Y03218,other,3372,0,0
2018-02-01,E84068,other,3148,0,0
2018-02-01,RRV,1,10692,1558,1641
2018-02-01,Y02147,other,8811,0,0
2018-02-01,Y03201,other,2126,0,0
2018-02-01,RKE,1,8085,1124,1207
2018-02-01,NL7,other,5514,0,0
2018-02-01,8J094,other,2948,0,0
2018-02-01,RDD,1,11200,1874,2875
2018-02-01,RC1,1,5795,1115,1850
2018-02-01,RC1,other,171,0,0
2018-02-01,M85813,other,3280,0,0
2018-02-01,RQ3,1,4779,326,992
2018-02-01,RJF,1,5100,1179,1789
2018-02-01,RJF,other,3812,1,13
2018-02-01,RGT,1,8877,2233,2553
2018-02-01,RGT,other,3045,0,12
2018-02-01,RFS,1,6358,453,1926
2018-02-01,NQ108,other,2050,7,0
2018-02-01,RDE,1,7111,889,2258
2018-02-01,RDE,other,4186,35,0
2018-02-01,Y03571,other,5322,6,0
2018-02-01,RTG,1,10124,2317,3269
2018-02-01,RTG,other,4444,38,122
2018-02-01,RY8,other,4852,0,0
2018-02-01,NNJ,other,1797,19,0
2018-02-01,RWH,1,8321,2450,2694
2018-02-01,RWH,other,3721,10,0
2018-02-01,Y03007,other,2402,0,0
2018-02-01,NQ106,other,504,0,0
2018-02-01,RLT,1,6232,1389,1030
2018-02-01,NEH06,other,1645,0,0
2018-02-01,RR1,1,18186,5218,6066
2018-02-01,RR1,other,2863,50,1188
2018-02-01,RY4,other,769,0,0
2018-02-01,RGQ,1,6315,763,1843
2018-02-01,RGQ,other,828,0,128
2018-02-01,RGP,1,4887,929,1372
2018-02-01,RGP,other,623,10,0
2018-02-01,RNQ,1,6635,2060,2301
2018-02-01,C82038,other,180,0,0
2018-02-01,RY5,other,9969,140,0
2018-02-01,NJS05,other,3766,247,0
2018-02-01,RC9,1,8046,298,2538
2018-02-01,RC9,other,3355,0,0
2018-02-01,C82009,other,254,0,0
2018-02-01,NLO11,other,519,28,0
2018-02-01,NLO09,other,545,8,0
2018-02-01,RQ8,1,7196,1590,2012
2018-02-01,RQ8,other,316,3,0
2018-02-01,RD8,1,6517,1228,1353
2018-02-01,RD8,other,4246,108,0
2018-02-01,RM1,1,7593,3325,2475
2018-02-01,RM1,other,2119,288,0
2018-02-01,RGN,1,10542,2493,3287
2018-02-01,RGN,other,663,0,0
2018-02-01,RNS,1,7532,2113,2278
2018-02-01,RNS,2,1016,11,0
2018-02-01,RNS,other,1299,0,0
