period,org_code,type,attendances,breaches,admissions
2017-07-01,RF4,1,20933,2902,4490
2017-07-01,RF4,2,747,1,0
2017-07-01,RF4,other,2625,9,0
2017-07-01,R1H,1,29475,4654,6894
2017-07-01,R1H,2,789,42,0
2017-07-01,R1H,other,11078,119,0
2017-07-01,AD913,other,4705,1,0
2017-07-01,RYX,other,19466,163,0
2017-07-01,RQM,1,17265,1117,3610
2017-07-01,RQM,other,7682,31,0
2017-07-01,RJ6,1,6631,1638,2225
2017-07-01,RJ6,other,9105,205,0
2017-07-01,Y02696,other,1146,0,0
2017-07-01,RVR,1,12830,638,3597
2017-07-01,RVR,2,558,2,12
2017-07-01,RJ1,1,12589,2729,3279
2017-07-01,RJ1,2,776,0,0
2017-07-01,RJ1,other,3094,3,0
2017-07-01,Y03082,other,3778,0,0
2017-07-01,RQX,1,10563,268,1555
2017-07-01,RY9,other,4970,4,0
2017-07-01,RYJ,1,9688,2092,3167
2017-07-01,RYJ,2,4165,33,10
2017-07-01,RYJ,other,11246,261,0
2017-07-01,RJZ,1,17817,2805,4564
2017-07-01,RJZ,2,1651,0,0
2017-07-01,RJZ,other,5268,212,0
2017-07-01,RAX,1,9006,708,1972
2017-07-01,RAX,2,1006,0,0
2017-07-01,RJ2,1,18080,1901,4680
2017-07-01,RJ2,other,6954,150,0
2017-07-01,R1K,1,12136,3317,5362
2017-07-01,R1K,other,16565,116,0
2017-07-01,RP6,2,8583,114,12
2017-07-01,RAT,other,5626,20,0
2017-07-01,RAP,1,14615,2648,2368
2017-07-01,Y02973,other,725,0,0
2017-07-01,RAL,1,18770,3062,3537
2017-07-01,RAL,other,3301,0,0
2017-07-01,Y03047,other,1872,0,0
2017-07-01,RJ7,1,13501,1495,4026
2017-07-01,RJ7,other,1168,7,0
2017-07-01,F84747,other,2525,0,0
2017-07-01,RAS,1,5617,1826,1969
2017-07-01,RAS,other,8121,29,0
2017-07-01,Y03094,other,3154,0,0
2017-07-01,E84068,other,3215,0,0
2017-07-01,RRV,1,12054,1420,1607
2017-07-01,Y02147,other,10044,0,0
2017-07-01,Y03201,other,2343,0,0
2017-07-01,RKE,1,8537,656,1342
2017-07-01,NL7,other,5260,0,0
2017-07-01,8J094,other,2775,0,0
2017-07-01,RDD,1,12107,1429,2885
2017-07-01,RC1,1,6690,465,2006
2017-07-01,M85813,other,3074,0,0
2017-07-01,RQ3,1,4916,233,841
2017-07-01,RJF,1,5570,743,1759
2017-07-01,RJF,other,5058,1,5
2017-07-01,RGT,1,10253,628,3203
2017-07-01,RGT,other,3681,1,22
2017-07-01,RFS,1,7281,592,1960
