period,org_code,type,attendances,breaches,admissions
2016-05-01,RF4,1,20827,4492,4306
2016-05-01,RF4,2,563,0,0
2016-05-01,RF4,other,2753,7,0
2016-05-01,R1H,1,29397,5366,6673
2016-05-01,R1H,2,614,14,0
2016-05-01,R1H,other,11052,69,0
2016-05-01,AD913,other,4542,2,0
2016-05-01,RYX,other,19018,23,0
2016-05-01,RQM,1,16705,929,3590
2016-05-01,RQM,other,7763,105,0
2016-05-01,RJ6,1,6274,697,2025
2016-05-01,RJ6,other,4315,55,0
2016-05-01,Y02696,other,1232,0,0
2016-05-01,NX122,other,2928,0,0
2016-05-01,RVR,1,12984,889,3056
2016-05-01,RVR,2,417,0,6
2016-05-01,RJ1,1,13263,1815,3154
2016-05-01,RJ1,2,748,0,0
2016-05-01,RJ1,other,3085,0,0
2016-05-01,Y03082,other,3753,0,0
2016-05-01,RQX,1,11052,736,1612
2016-05-01,RY9,other,4849,9,0
2016-05-01,RYJ,1,9758,2224,3388
2016-05-01,RYJ,2,3946,34,14
2016-05-01,RYJ,other,11194,252,0
2016-05-01,RJZ,1,17656,3515,4531
2016-05-01,RJZ,2,2286,20,0
2016-05-01,RJZ,other,5626,284,0
2016-05-01,RAX,1,9241,794,1638
2016-05-01,RAX,2,917,9,0
2016-05-01,RJ2,1,18202,3064,3909
2016-05-01,RJ2,other,5688,209,0
2016-05-01,R1K,1,12786,3145,5487
2016-05-01,R1K,other,15782,278,0
2016-05-01,RP6,2,8908,243,40
2016-05-01,RAT,other,5255,49,0
2016-05-01,RAP,1,14979,4059,2215
2016-05-01,Y02973,other,739,0,0
2016-05-01,Y02585,other,856,4,0
2016-05-01,AF003,other,527,0,0
2016-05-01,AF002,other,719,0,0
2016-05-01,RAL,1,19574,1733,4251
2016-05-01,RAL,other,3383,0,0
2016-05-01,Y03047,other,1906,0,0
2016-05-01,RJ7,1,13504,960,3764
2016-05-01,RJ7,other,1563,2,0
2016-05-01,F84747,other,2689,0,0
2016-05-01,RAS,1,5268,1992,1697
2016-05-01,RAS,other,9003,74,0
2016-05-01,Y03094,other,3059,0,0
2016-05-01,Y02987,other,1031,0,0
2016-05-01,E84068,other,3250,0,0
2016-05-01,RKE,1,8540,1205,1407
2016-05-01,RRV,1,12155,1419,2052
2016-05-01,Y02147,other,10093,0,0
2016-05-01,Y03201,other,2431,0,0
2016-05-01,NL7,other,5396,0,0
2016-05-01,RDD,1,11812,2089,2023
2016-05-01,RC1,1,6508,475,1848
2016-05-01,RYW,2,457,0,0
2016-05-01,M85813,other,3323,0,0
2016-05-01,RQ3,1,5042,212,875
2016-05-01,RJF,1,5604,1112,1633
2016-05-01,RJF,other,4605,0,0
2016-05-01,RGT,1,9829,2229,3135
2016-05-01,RGT,other,3119,0,0
2016-05-01,RFS,1,7158,926,1999
2016-05-01,NQ108,other,2855,2,0
2016-05-01,RDE,1,7359,1081,2482
2016-05-01,Y03571,other,6204,1,0
2016-05-01,Y02613,other,4412,0,0
2016-05-01,RTG,1,12110,1631,3598
2016-05-01,RTG,other,4149,1,0
2016-05-01,RY8,other,5071,1,0
2016-05-01,NNJ,other,1908,0,0
2016-05-01,RWH,1,9162,2104,3148
2016-05-01,RWH,other,4672,7,0
2016-05-01,NAX,other,532,0,0
2016-05-01,NQ106,other,657,1,0
2016-05-01,RLT,1,6320,470,1209
2016-05-01,NTPAL,other,2156,0,0
2016-05-01,Y02662,other,1211,0,0
2016-05-01,NEH06,other,1922,1,0
2016-05-01,RR1,1,20285,3106,6023
2016-05-01,RR1,other,3752,62,1204
2016-05-01,RY4,other,912,0,0
2016-05-01,RQQ,1,4287,1031,954
2016-05-01,RGQ,1,7646,482,2146
2016-05-01,RGQ,other,496,0,157
2016-05-01,RGP,1,6683,345,1123
2016-05-01,RNQ,1,7571,991,2450
2016-05-01,C82038,other,377,0,0
2016-05-01,RY5,other,14596,115,40
2016-05-01,NJS05,other,3934,87,0
2016-05-01,RC9,1,8932,158,2505
2016-05-01,RC9,other,3666,0,0
2016-05-01,C82009,other,313,0,0
2016-05-01,NLO11,other,642,1,0
2016-05-01,NLO09,other,475,1,0
2016-05-01,RQ8,1,8025,1758,1945
2016-05-01,RQ8,other,565,10,0
2016-05-01,RD8,1,7651,676,1387
2016-05-01,RD8,other,4989,5,0
2016-05-01,RM1,1,9941,1227,2955
2016-05-01,RM1,other,1065,0,0
2016-05-01,Y02646,other,5224,0,0
2016-05-01,RGN,1,8527,1940,2373
2016-05-01,RGN,other,784,1,0
2016-05-01,RNS,1,9230,1086,2870
2016-05-01,RNS,2,929,12,0
2016-05-01,NMH01,other,6014,0,0
2016-05-01,NR3,other,5039,186,0
2016-05-01,RX1,1,15682,4338,3828
2016-05-01,RX1,2,1491,7,0
2016-05-01,RX1,other,213,1,0
2016-05-01,NLO10,other,2972,16,0
2016-05-01,C82010,other,345,0,0
2016-05-01,NLO12,other,281,0,0
2016-05-01,Y02428,other,2237,0,0
2016-05-01,RXK,1,15009,1401,3256
2016-05-01,RXK,2,2346,50,28
2016-05-01,RXK,other,3011,0,0
2016-05-01,RK5,1,9247,593,2663
2016-05-01,RK5,other,3959,46,11
2016-05-01,RXW,1,10642,1922,2298
2016-05-01,RXW,other,2012,0,0
2016-05-01,R1D,2,437,0,0
2016-05-01,R1D,other,2222,1,0
2016-05-01,Y02568,other,4028,0,0
2016-05-01,Y02615,other,5954,0,0
2016-05-01,RJC,1,5447,263,1633
2016-05-01,RJC,other,702,0,0
2016-05-01,RAJ,1,8838,1036,2322
2016-05-01,Y02961,other,4100,0,0
2016-05-01,RNA,1,8800,627,2581
2016-05-01,RNA,other,7119,0,0
2016-05-01,RQW,1,8693,2350,2062
2016-05-01,RQW,other,238,0,0
2016-05-01,RCX,1,5496,762,1847
2016-05-01,RL4,1,11800,1922,2771
2016-05-01,RL4,other,4664,0,0
2016-05-01,RWD,1,14646,2414,3704
2016-05-01,RRK,1,10199,1843,2878
2016-05-01,RKB,1,12263,3132,3882
2016-05-01,RKB,2,1855,30,82
2016-05-01,RKB,other,2473,5,3
2016-05-01,RWE,1,12817,4080,3622
2016-05-01,RWE,2,1848,57,4
2016-05-01,RWE,other,6318,90,228
2016-05-01,RJE,1,16008,4424,4751
2016-05-01,RJE,2,394,0,0
2016-05-01,RJE,other,5118,40,0
2016-05-01,RBK,1,6251,923,1848
2016-05-01,RBK,other,4267,10,0
2016-05-01,ATQ02,other,3914,0,0
2016-05-01,RWG,1,8006,1702,2864
2016-05-01,RWG,other,4555,67,0
2016-05-01,RGR,1,5930,775,1880
2016-05-01,NLO20,other,3582,44,0
2016-05-01,RWP,1,11100,2957,3111
2016-05-01,RWP,other,5761,0,0
2016-05-01,R1A,2,746,0,0
2016-05-01,RLQ,1,4957,846,899
2016-05-01,RLQ,other,3709,0,0
2016-05-01,REM,1,7096,1790,2556
2016-05-01,REM,other,6552,0,0
2016-05-01,RCF,1,5095,386,1028
2016-05-01,RBS,1,5189,332,1026
2016-05-01,RFF,1,7393,341,2057
2016-05-01,RXL,1,7754,1997,1981
2016-05-01,RXL,other,9878,3,0
2016-05-01,RMC,1,10051,1874,2304
2016-05-01,RAE,1,12286,1211,2836
2016-05-01,NNF09,other,1076,0,0
2016-05-01,RY2,other,8566,40,0
2016-05-01,RWY,1,13588,897,2658
2016-05-01,NTP08,other,3884,8,0
2016-05-01,RW3,1,13280,1636,3716
2016-05-01,RW3,2,3474,8,143
2016-05-01,RW3,other,10333,14,172
2016-05-01,RLN,1,7643,699,2618
2016-05-01,RLN,2,2345,9,32
2016-05-01,RLN,other,2700,5,0
2016-05-01,RJR,1,6232,524,1831
2016-05-01,RJR,other,726,1,0
2016-05-01,RXP,1,11675,1772,3266
2016-05-01,RXP,other,14340,0,0
2016-05-01,RNN,other,1255,30,0
2016-05-01,RP5,1,11950,1015,3340
2016-05-01,RP5,other,2808,0,370
2016-05-01,RJN,1,4252,764,910
2016-05-01,RJN,other,398,0,0
2016-05-01,RXR,1,10033,2195,3227
2016-05-01,RXR,other,6470,203,59
2016-05-01,NNF28,other,351,0,0
2016-05-01,RR7,1,7745,332,1775
2016-05-01,RR7,other,2522,4,0
2016-05-01,RCD,1,4304,234,930
2016-05-01,RCD,other,876,0,0
2016-05-01,RWA,1,11639,1832,1627
2016-05-01,RWA,other,1363,3,0
2016-05-01,RV9,other,1821,1,0
2016-05-01,RXN,1,8147,1452,2032
2016-05-01,RXN,other,3312,6,146
2016-05-01,Y01231,other,2841,0,0
2016-05-01,RR8,1,18873,2040,6756
2016-05-01,RR8,other,2307,0,0
2016-05-01,Y02875,other,3615,0,0
2016-05-01,RY1,other,2402,0,0
2016-05-01,REP,2,1039,21,110
2016-05-01,Y01069,other,3455,0,0
2016-05-01,RBT,1,5879,1130,2148
2016-05-01,RBT,other,1937,0,0
2016-05-01,RXF,1,21016,2804,4531
2016-05-01,RNL,1,8328,1071,1982
2016-05-01,RVW,1,6264,525,1559
2016-05-01,RVW,other,1710,1,4
2016-05-01,RTV,other,1877,0,0
2016-05-01,NLO01,other,6551,32,0
2016-05-01,RJL,1,11708,920,2598
2016-05-01,RJL,other,1846,1,0
2016-05-01,RTF,1,15060,539,3913
