period,org_code,type,attendances,breaches,admissions
2017-06-01,RF4,1,20127,2916,4481
2017-06-01,RF4,2,767,2,0
2017-06-01,RF4,other,2728,3,0
2017-06-01,R1H,1,28006,4029,6414
2017-06-01,R1H,2,775,6,0
2017-06-01,R1H,other,10432,89,0
2017-06-01,AD913,other,4560,7,0
2017-06-01,RYX,other,18876,237,0
2017-06-01,RQM,1,16675,1169,3542
2017-06-01,RQM,other,7682,40,0
2017-06-01,RJ6,1,6332,1228,2122
2017-06-01,RJ6,other,8018,121,0
2017-06-01,Y02696,other,976,0,0
2017-06-01,RVR,1,12424,640,3419
2017-06-01,RVR,2,486,0,15
2017-06-01,RJ1,1,11798,1454,3184
2017-06-01,RJ1,2,836,0,0
2017-06-01,RJ1,other,2688,6,0
2017-06-01,Y03082,other,3737,0,0
2017-06-01,RQX,1,10247,509,1680
2017-06-01,RY9,other,4659,0,0
2017-06-01,RYJ,1,9370,1992,3262
2017-06-01,RYJ,2,4237,56,13
2017-06-01,RYJ,other,10364,329,0
2017-06-01,RJZ,1,17358,3348,4626
2017-06-01,RJZ,2,1798,4,0
2017-06-01,RJZ,other,5373,217,0
2017-06-01,RAX,1,8784,970,1969
2017-06-01,RAX,2,1097,1,0
2017-06-01,RJ2,1,17705,1313,4371
2017-06-01,RJ2,other,7022,155,0
2017-06-01,R1K,1,11649,3781,4890
2017-06-01,R1K,other,16268,156,0
2017-06-01,RP6,2,8395,106,24
2017-06-01,RAT,other,5683,24,0
2017-06-01,RAP,1,14542,2598,2309
2017-06-01,Y02973,other,749,0,0
2017-06-01,RAL,1,18670,2865,3696
2017-06-01,RAL,other,3320,0,0
2017-06-01,Y03047,other,1750,0,0
2017-06-01,RJ7,1,12986,1134,3847
2017-06-01,RJ7,other,1408,0,0
2017-06-01,F84747,other,2309,0,0
2017-06-01,RAS,1,5458,1649,1893
2017-06-01,RAS,other,8167,52,0
2017-06-01,Y03094,other,3049,0,0
2017-06-01,E84068,other,3137,0,0
2017-06-01,RRV,1,11389,900,2147
2017-06-01,Y02147,other,9991,0,0
2017-06-01,Y03201,other,2339,0,0
2017-06-01,RKE,1,8239,627,1387
2017-06-01,NL7,other,4995,0,0
2017-06-01,8J094,other,2404,0,0
2017-06-01,RDD,1,11910,1232,2818
2017-06-01,RC1,1,6486,266,1911
2017-06-01,M85813,other,3328,0,0
2017-06-01,RQ3,1,4727,164,874
2017-06-01,RJF,1,5354,844,1679
2017-06-01,RJF,other,4810,0,2
2017-06-01,RGT,1,10047,737,3493
2017-06-01,RGT,other,3847,3,23
2017-06-01,RFS,1,6968,553,1834
2017-06-01,NQ108,other,2906,3,0
2017-06-01,RDE,1,7527,1335,2201
2017-06-01,RDE,other,3983,0,0
2017-06-01,Y03571,other,5631,7,0
2017-06-01,RTG,1,11411,2673,3269
2017-06-01,RTG,other,4323,0,53
2017-06-01,RY8,other,6041,1,0
2017-06-01,NNJ,other,1735,5,0
2017-06-01,RWH,1,8836,1706,2878
2017-06-01,RWH,other,4931,11,0
2017-06-01,Y03007,other,2406,0,0
2017-06-01,NQ106,other,703,3,0
2017-06-01,RLT,1,6893,342,1220
2017-06-01,NTPAL,other,2011,0,0
2017-06-01,NEH06,other,2231,0,0
2017-06-01,RR1,1,18958,3705,5604
2017-06-01,RR1,other,3717,27,1153
2017-06-01,RY4,other,1073,11,0
2017-06-01,RGQ,1,7588,688,1964
2017-06-01,RGQ,other,597,0,165
2017-06-01,RGP,1,6817,345,1307
2017-06-01,RGP,other,2,0,0
2017-06-01,RNQ,1,7344,841,2407
2017-06-01,C82038,other,476,0,0
2017-06-01,RY5,other,13832,78,9
2017-06-01,NJS05,other,3954,53,0
2017-06-01,RC9,1,8918,108,2468
2017-06-01,RC9,other,3825,0,0
2017-06-01,C82009,other,397,0,0
2017-06-01,NLO11,other,616,12,0
2017-06-01,NLO09,other,599,5,0
2017-06-01,RQ8,1,8217,1600,2270
2017-06-01,RQ8,other,224,4,0
2017-06-01,RD8,1,7662,1086,1382
2017-06-01,RD8,other,4804,11,0
2017-06-01,Y02652,other,3606,0,0
2017-06-01,RM1,1,10078,974,2599
2017-06-01,RM1,other,1246,0,0
2017-06-01,RGN,1,11931,1118,3135
2017-06-01,RGN,other,797,0,0
2017-06-01,RNS,1,9139,1152,2738
2017-06-01,RNS,2,1131,0,0
2017-06-01,NMH01,other,5691,0,0
2017-06-01,NR3,other,5215,85,0
2017-06-01,RX1,1,14576,2824,3719
2017-06-01,RX1,2,1657,0,0
2017-06-01,RX1,other,221,4,0
2017-06-01,NLO10,other,2747,50,0
2017-06-01,C82010,other,302,0,0
2017-06-01,NLO12,other,323,2,0
2017-06-01,Y02428,other,2156,0,0
2017-06-01,RXK,1,14612,2974,2938
2017-06-01,RXK,2,1200,40,36
2017-06-01,RXK,other,2416,0,0
2017-06-01,RK5,1,8168,369,2325
2017-06-01,RK5,other,4344,46,12
2017-06-01,RXW,1,10557,2429,2268
2017-06-01,RXW,other,1321,0,0
2017-06-01,R1D,other,2397,0,0
2017-06-01,Y02615,other,5282,0,0
2017-06-01,RJC,1,5590,219,1727
2017-06-01,RJC,other,748,0,0
2017-06-01,RAJ,1,8729,811,2233
2017-06-01,Y02470,other,1953,0,0
2017-06-01,Y02961,other,2990,0,0
2017-06-01,RNA,1,8902,888,2426
2017-06-01,RNA,other,4810,0,0
2017-06-01,RQW,1,8625,2159,1793
