period,org_code,type,attendances,breaches,admissions
2016-04-01,RF4,1,18788,4082,4074
2016-04-01,RF4,2,561,5,0
2016-04-01,RF4,other,2685,17,0
2016-04-01,R1H,1,27396,5099,6424
2016-04-01,R1H,2,700,5,0
2016-04-01,R1H,other,10317,143,0
2016-04-01,AD913,other,3836,1,0
2016-04-01,RYX,other,17369,0,0
2016-04-01,RQM,1,15154,1199,3415
2016-04-01,RQM,other,6936,76,0
2016-04-01,RJ6,1,5904,707,1919
2016-04-01,RJ6,other,3794,80,0
2016-04-01,Y02696,other,1116,0,0
2016-04-01,NX122,other,2795,0,0
2016-04-01,RVR,1,11929,623,2950
2016-04-01,RVR,2,461,3,6
2016-04-01,RJ1,1,11554,1219,2910
2016-04-01,RJ1,2,797,0,0
2016-04-01,RJ1,other,2788,1,0
2016-04-01,Y03082,other,3909,0,0
2016-04-01,RQX,1,9822,583,1569
2016-04-01,RY9,other,4251,0,0
2016-04-01,RYJ,1,9174,2386,3220
2016-04-01,RYJ,2,3760,54,10
2016-04-01,RYJ,other,10124,133,0
2016-04-01,RJZ,1,16688,3608,4504
2016-04-01,RJZ,2,2189,11,0
2016-04-01,RJZ,other,5203,358,0
2016-04-01,RAX,1,8328,459,1541
2016-04-01,RAX,2,925,1,0
2016-04-01,RJ2,1,16802,2908,3516
2016-04-01,RJ2,other,4940,149,0
2016-04-01,R1K,1,11715,2652,5141
2016-04-01,R1K,other,16850,150,0
2016-04-01,RP6,2,8717,320,27
2016-04-01,RAT,other,4707,62,0
2016-04-01,RAP,1,13604,3730,2153
2016-04-01,Y02973,other,728,0,0
2016-04-01,Y02585,other,912,9,0
2016-04-01,AF003,other,482,0,0
2016-04-01,AF002,other,608,0,0
2016-04-01,RAL,1,17771,2013,3785
2016-04-01,RAL,other,3040,0,0
2016-04-01,Y03047,other,2276,0,0
2016-04-01,RJ7,1,12447,1416,3424
2016-04-01,RJ7,other,1290,0,0
2016-04-01,F84747,other,2446,0,0
2016-04-01,RAS,1,4958,1745,1632
2016-04-01,RAS,other,8174,25,0
2016-04-01,Y03094,other,2910,0,0
2016-04-01,Y02987,other,1157,0,0
2016-04-01,E84068,other,3283,0,0
2016-04-01,RKE,1,7878,1251,1261
2016-04-01,RRV,1,11254,1359,2005
2016-04-01,Y02147,other,8878,0,0
2016-04-01,Y03201,other,2398,0,0
2016-04-01,NL7,other,4877,3,0
2016-04-01,RDD,1,10967,2450,2104
2016-04-01,RC1,1,5820,357,1769
2016-04-01,RYW,2,470,0,0
2016-04-01,M85813,other,3093,0,0
2016-04-01,RQ3,1,4639,164,919
2016-04-01,RJF,1,5517,1134,1605
2016-04-01,RJF,other,4212,0,0
2016-04-01,RGT,1,8889,1103,2918
2016-04-01,RGT,other,3130,0,0
2016-04-01,RFS,1,6540,632,1887
2016-04-01,NQ108,other,2409,6,0
2016-04-01,RDE,1,6735,1773,2385
2016-04-01,Y03571,other,5756,2,0
2016-04-01,Y02613,other,4067,0,0
2016-04-01,RTG,1,11008,1772,3461
2016-04-01,RTG,other,3839,1,0
2016-04-01,RY8,other,4309,0,0
2016-04-01,NNJ,other,1774,0,0
2016-04-01,RWH,1,8035,2314,2714
2016-04-01,RWH,other,4242,4,0
2016-04-01,NAX,other,460,0,0
2016-04-01,NQ106,other,589,0,0
2016-04-01,RLT,1,5691,800,1023
2016-04-01,NTPAL,other,2139,0,0
2016-04-01,Y02662,other,1237,0,0
2016-04-01,NEH06,other,1635,0,0
2016-04-01,RR1,1,18088,2564,5629
2016-04-01,RR1,other,3384,31,1228
2016-04-01,RY4,other,819,0,0
2016-04-01,RQQ,1,3700,669,831
2016-04-01,RGQ,1,7051,358,2103
2016-04-01,RGQ,other,380,0,132
2016-04-01,RGP,1,5886,289,1038
2016-04-01,RNQ,1,6904,1005,2061
2016-04-01,C82038,other,375,0,0
2016-04-01,RY5,other,13309,79,29
2016-04-01,NJS05,other,3366,61,0
2016-04-01,RC9,1,7983,128,2251
2016-04-01,RC9,other,3432,0,0
2016-04-01,C82009,other,304,0,0
2016-04-01,NLO11,other,549,0,0
2016-04-01,NLO09,other,434,2,0
2016-04-01,RQ8,1,7194,1596,1892
2016-04-01,RQ8,other,492,6,0
2016-04-01,RD8,1,6906,476,1394
2016-04-01,RD8,other,4605,0,0
2016-04-01,RM1,1,9072,1443,2692
2016-04-01,RM1,other,874,0,0
2016-04-01,Y02646,other,4780,0,0
2016-04-01,RGN,1,7832,2032,2209
2016-04-01,RGN,other,677,1,0
2016-04-01,RNS,1,8299,1063,2755
2016-04-01,RNS,2,931,3,0
2016-04-01,NMH01,other,5473,0,0
2016-04-01,NR3,other,4672,194,0
2016-04-01,RX1,1,13901,3392,3700
2016-04-01,RX1,2,1464,2,0
2016-04-01,RX1,other,172,0,0
2016-04-01,NLO10,other,2544,7,0
2016-04-01,C82010,other,333,0,0
2016-04-01,NLO12,other,266,0,0
2016-04-01,Y02428,other,1984,0,0
2016-04-01,RXK,1,13407,1569,3175
2016-04-01,RXK,2,2344,39,28
2016-04-01,RXK,other,2948,0,0
2016-04-01,RK5,1,8139,859,2446
2016-04-01,RK5,other,3753,94,18
2016-04-01,RXW,1,9737,1852,2108
2016-04-01,RXW,other,1865,0,0
2016-04-01,R1D,2,420,0,0
2016-04-01,R1D,other,1996,0,0
2016-04-01,Y02568,other,3769,0,0
2016-04-01,Y02615,other,5590,0,0
2016-04-01,RJC,1,5065,250,1557
2016-04-01,RJC,other,613,0,0
2016-04-01,RAJ,1,8234,1031,2279
2016-04-01,NLO02,other,452,2,0
2016-04-01,Y02961,other,4124,0,0
2016-04-01,RNA,1,7824,529,2310
2016-04-01,RNA,other,6470,0,0
2016-04-01,RQW,1,7781,1984,1851
2016-04-01,RQW,other,246,0,0
2016-04-01,RCX,1,4854,617,1858
2016-04-01,RL4,1,10811,1613,2740
2016-04-01,RL4,other,4414,0,0
2016-04-01,RWD,1,13130,2555,3409
2016-04-01,RRK,1,9044,1195,2744
2016-04-01,RKB,1,11187,2972,3577
2016-04-01,RKB,2,1804,22,92
2016-04-01,RKB,other,2139,4,8
2016-04-01,RWE,1,11449,3406,3383
2016-04-01,RWE,2,1895,122,7
2016-04-01,RWE,other,5580,21,193
2016-04-01,RJE,1,14718,4227,4622
2016-04-01,RJE,2,443,0,0
