period,org_code,type,attendances,breaches,admissions
2018-11-01,RF4,1,16897,5087,4960
2018-11-01,RF4,2,791,2,0
2018-11-01,RF4,other,8264,30,0
2018-11-01,R1H,1,27483,5934,8348
2018-11-01,R1H,2,801,3,0
2018-11-01,R1H,other,14262,68,0
2018-11-01,AD913,other,4399,2,0
2018-11-01,E84069,other,1846,0,0
2018-11-01,RYX,other,18047,152,0
2018-11-01,RQM,1,18987,1552,4252
2018-11-01,RQM,other,8397,145,0
2018-11-01,RJ6,1,6707,2624,2181
2018-11-01,RJ6,other,11164,35,0
2018-11-01,Y02696,other,963,0,0
2018-11-01,RVR,1,12659,1415,3356
2018-11-01,RVR,2,472,0,5
2018-11-01,RVR,other,2025,0,0
2018-11-01,RJ1,1,13910,2360,3747
2018-11-01,RJ1,2,843,0,0
2018-11-01,RJ1,other,2965,0,0
2018-11-01,Y03082,other,3225,304,0
2018-11-01,RQX,1,10392,516,1761
2018-11-01,RY9,other,3853,0,0
2018-11-01,RYJ,1,9865,2278,3359
2018-11-01,RYJ,2,4006,8,12
2018-11-01,RYJ,other,9605,43,0
2018-11-01,RJZ,1,16157,5577,4548
2018-11-01,RJZ,other,7231,541,0
2018-11-01,Y02973,other,769,0,0
2018-11-01,RAX,1,9667,1340,2404
2018-11-01,RAX,2,1178,8,0
2018-11-01,RJ2,1,13926,3176,4789
2018-11-01,RJ2,other,11460,307,0
2018-11-01,R1K,1,12797,3234,6137
2018-11-01,R1K,other,17922,342,0
2018-11-01,RP6,2,7709,74,23
2018-11-01,RAT,other,4692,51,0
2018-11-01,RAP,1,8683,1600,2848
2018-11-01,RAP,2,437,0,0
2018-11-01,RAP,other,6567,80,0
2018-11-01,RAL,1,20486,3525,4384
2018-11-01,RAL,other,3517,0,0
2018-11-01,RJ7,1,13207,2122,4136
2018-11-01,RJ7,other,1413,0,0
2018-11-01,RAS,1,5982,2200,1948
2018-11-01,RAS,other,7830,119,0
2018-11-01,Y03094,other,3378,0,0
2018-11-01,Y03218,other,3422,0,0
2018-11-01,RRV,1,12294,1979,2029
2018-11-01,Y02147,other,9502,147,0
2018-11-01,RKE,1,9245,1061,1517
2018-11-01,NL7,other,5786,0,0
2018-11-01,8J094,other,2925,0,0
2018-11-01,RDD,1,13182,651,3169
2018-11-01,RC1,1,6328,643,1983
2018-11-01,RC1,other,932,0,0
2018-11-01,M85813,other,3226,0,0
2018-11-01,RQ3,1,5793,1211,1266
2018-11-01,RGT,1,10377,2204,3494
2018-11-01,RGT,other,3178,0,19
2018-11-01,RFS,1,5784,598,2149
2018-11-01,RFS,other,1660,0,0
2018-11-01,NQ108,other,2426,6,0
2018-11-01,Y03571,other,6280,0,0
2018-11-01,RY8,other,5200,2,0
2018-11-01,NNJ,other,1675,5,0
2018-11-01,RWH,1,9437,1294,3286
2018-11-01,RWH,other,3978,2,0
2018-11-01,RDE,1,15696,1524,4578
2018-11-01,RDE,other,5492,6,180
2018-11-01,Y03007,other,2598,0,0
2018-11-01,NQ106,other,490,0,0
2018-11-01,RLT,1,6940,1510,1274
2018-11-01,NEH06,other,1725,0,0
