period,org_code,type,attendances,breaches,admissions
2018-04-01,RF4,1,20369,4970,4943
2018-04-01,RF4,2,730,2,0
2018-04-01,RF4,other,2687,31,0
2018-04-01,R1H,1,26727,5508,7480
2018-04-01,R1H,2,827,1,0
2018-04-01,R1H,other,13255,115,0
2018-04-01,AD913,other,4505,0,0
2018-04-01,E84069,other,1796,0,0
2018-04-01,RYX,other,17857,70,0
2018-04-01,RQM,1,17309,1204,3689
2018-04-01,RQM,other,8406,82,0
2018-04-01,RJ6,1,6607,1920,1821
2018-04-01,RJ6,other,10445,141,0
2018-04-01,Y02696,other,1150,0,0
2018-04-01,RVR,1,12017,945,3253
2018-04-01,RVR,2,454,0,9
2018-04-01,RVR,other,964,0,0
2018-04-01,RJ1,1,12877,2253,3202
2018-04-01,RJ1,2,757,0,0
2018-04-01,RJ1,other,3113,14,0
2018-04-01,Y03082,other,3700,0,0
2018-04-01,RQX,1,10520,597,1607
2018-04-01,RY9,other,4958,2,0
2018-04-01,RYJ,1,9645,3431,3053
2018-04-01,RYJ,2,4137,129,3
2018-04-01,RYJ,other,10180,103,0
2018-04-01,RJZ,1,15414,4530,4212
2018-04-01,RJZ,other,6963,203,0
2018-04-01,Y02973,other,799,0,0
2018-04-01,RAX,1,8854,1103,2160
2018-04-01,RAX,2,1046,0,0
2018-04-01,RJ2,1,12477,2690,4457
2018-04-01,RJ2,other,11782,323,0
2018-04-01,R1K,1,11537,3087,5620
2018-04-01,R1K,other,16123,178,0
2018-04-01,RP6,2,7885,266,19
2018-04-01,RAT,other,4932,16,0
2018-04-01,RAP,1,8138,2220,2416
2018-04-01,RAP,2,386,7,0
2018-04-01,RAP,other,5519,151,0
2018-04-01,RAL,1,18962,2697,4073
2018-04-01,RAL,other,3228,0,0
2018-04-01,Y03047,other,1669,0,0
2018-04-01,RJ7,1,12626,1627,3767
2018-04-01,RJ7,other,1417,0,0
2018-04-01,F84747,other,2511,0,0
2018-04-01,RAS,1,5287,2511,1878
2018-04-01,RAS,other,7724,54,0
2018-04-01,Y03094,other,3235,0,0
2018-04-01,Y03218,other,3456,0,0
2018-04-01,E84068,other,2926,0,0
2018-04-01,Y02692,other,3385,0,0
2018-04-01,RRV,1,11202,1845,1909
2018-04-01,Y02147,other,9680,0,0
2018-04-01,RKE,1,8646,1183,1403
2018-04-01,NL7,other,5397,0,0
2018-04-01,8J094,other,2931,0,0
2018-04-01,RDD,1,12239,1504,3071
2018-04-01,RC1,1,6419,545,1965
2018-04-01,RC1,other,137,0,0
2018-04-01,M85813,other,3326,0,0
2018-04-01,RQ3,1,4607,182,1014
2018-04-01,RJF,1,5453,499,1790
2018-04-01,RJF,other,4293,0,1
2018-04-01,RGT,1,9315,1303,2999
2018-04-01,RGT,other,3229,2,18
2018-04-01,RFS,1,5433,297,1883
2018-04-01,RFS,other,1608,0,0
